,Title,List Author,Author(s),Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,id
5,Following Lower-Court Precedent [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","University of Chicago Law Review, Vol. 81, Issue 3 (Spring 2014), pp. 851-928",81 U. Chi. L. Rev. 851 (2014),22,na,35,na,8862
6,The Senate: Out of Order [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Connecticut Law Review, Vol. 43, Issue 4 (May 2011), pp. 1041-1058",na,20,na,10,na,8862
7,Burying the Continuing Body Theory of the Senate [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Iowa Law Review, Vol. 95, Issue 5 (July 2010), pp. 1401-1466",95 Iowa L. Rev. 1401 (2009-2010),20,na,10,na,8862
8,Deciding When to Decide: How Appellate Procedure Distributes the Costs of Legal Change [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Cornell Law Review, Vol. 96, Issue 2 (January 2011), pp. 203-264",96 Cornell L. Rev. 203 (2010-2011),16,3,5,na,8862
9,"If the Judicial Confirmation Process Is Broke, Can a Statute Fix It [article]",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Nebraska Law Review, Vol. 85, Issue 4 (2007), pp. 960-1014",85 Neb. L. Rev. 960 (2006-2007),14,na,3,na,8862
10,Hierarchically Variable Deference to Agency Interpretations [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Notre Dame Law Review, Vol. 89, Issue 2 (December 2013), pp. 727-784",89 Notre Dame L. Rev. 727 (2013-2014),13,na,9,na,8862
11,Against Mix-and-Match Lawmaking [comments],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Cornell Journal of Law and Public Policy , Vol. 16, Issue 2 (Spring 2007), pp. 349-362",na,10,na,3,na,8862
12,Communicating the Canons: How Lower Courts React When the Supreme Court Changes the Rules of Statutory Interpretation [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Minnesota Law Review, Vol. 100, Issue 2 (December 2015), pp. 481-560",100 Minn. L. Rev. 481 (2015-2016),9,na,39,na,8862
13,Justice Unconceived: How Posterity Has Rights [notes],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Yale Journal of Law & the Humanities, Vol. 14, Issue 2 (Summer 2002), pp. 393-440",na,8,na,1,na,8862
14,"Return of the Line Item Veto - Legalities, Practicalities, and Some Puzzles [article]",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","University of Pennsylvania Journal of Constitutional Law, Vol. 10, Issue 3 (March 2008), pp. 447-498",10 U. Pa. J. Const. L. 447 (2007-2008),6,na,3,na,8862
15,Public Reason as a Public Good [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Journal of Law in Society, Vol. 4, Issue 2 (Winter 2003), pp. 217-274",4 J.L. Soc'y 217 (2002-2003),5,na,4,na,8862
16,When is Finality Final - Rehearing and Resurrection in the Supreme Court [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Journal of Appellate Practice and Process, Vol. 12, Issue 1 (Spring 2011), pp. 1-24",na,4,na,3,na,8862
17,The Jurisdiction Canon [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Vanderbilt Law Review, Vol. 70, Issue 2 (March 2017), pp. 499-564",70 Vand. L. Rev. 499 (2017),4,na,28,na,8862
18,Measuring Circuit Splits: A Cautionary Note [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Journal of Law, Vol. 4, Issue 3 (2014), pp. 361-384",na,3,na,5,na,8862
19,Statutory Interpretation and the Rest of the Iceberg: Divergences between the Lower Federal Courts and the Supreme Court [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Duke Law Journal, Vol. 68, Issue 1 (October 2018), pp. 1-74",68 Duke L.J. 1 (2018-2019),3,na,na,na,8862
20,One Good Plaintiff Is Not Enough [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Duke Law Journal, Vol. 67, Issue 3 (December 2017), pp. 481-556",67 Duke L.J. 481 (2017-2018),2,1,27,na,8862
21,Courtside [notes],Aaron-Andrew P. Bruhl,"Smith, Paul M. (Cited 32 times); Fallow, Katherine A. (Cited 20 times); Mach, Daniel (Cited 30 times); Bruhl, Aaron A. (Cited 410 times)","Communications Lawyer, Vol. 23, Issue 1 (Spring 2005), pp. 23-32",na,1,na,na,na,8862
22,"New Line Item Veto Proposal: This Time Its Constitutional (Mostly), The",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",na,"Bruhl, Aaron-Andrew P. (Cited 410 times)",na,na,na,na,8862
23,Separating Amicus Wheat from Chaff [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times); Feldman, Adam (Cited 12 times)","Georgetown Law Journal Online, Vol. 106, pp. 135-150",106 Geo. L.J. Online 135 (2017),na,na,19,na,8862
0,Interpretive Preferences and the Limits of the New Formalism [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Berkeley Business Law Journal, Vol. 6, Issue 1 and 2 (2009), pp. 1-54",6 Berkeley Bus. L.J. 1 (2009),16,na,5,na,5374
1,"Harm, Ambiguity, and the Regulation of Illegal Contracts [article]",Adam Badawi,"Badawi, Adam B. (Cited 62 times)","George Mason Law Review, Vol. 17, Issue 2 (Winter 2010), pp. 483-532",17 Geo. Mason L. Rev. 483 (2009-2010),12,na,14,na,5374
2,Self-Help and the Rules of Engagement [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Yale Journal on Regulation, Vol. 29, Issue 1 (Winter 2012), pp. 1-44",29 Yale J. on Reg. 1 (Winter 2012),10,na,15,na,5374
3,Unceasing Animosities and the Public Tranquility: Political Market Failure and the Scope of the Commerce Power [comments],Adam Badawi,"Badawi, Adam (Cited 62 times)","California Law Review, Vol. 91, Issue 5 (October 2003), pp. 1331-1374",na,6,na,1,na,5374
4,Merger Class Actions in Delaware and the Symptoms of Multi-Jurisdictional Litigation [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Washington University Law Review, Vol. 90, Issue 3 (2013), pp. 965-1014",na,6,na,4,na,5374
5,The Shareholder Wealth Effects of Delaware Litigation [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Chen, Daniel L. (Cited 56 times)","American Law and Economics Review, Vol. 19, Issue 2 (Fall 2017), pp. 287-326",na,2,na,na,na,5374
6,Relational Governance and Contract Damages: Evidence from Franchising [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Journal of Empirical Legal Studies, Vol. 7, Issue 4 (2010), pp. 743-785",7 J. Empirical Legal Stud. 743 (2010),2,na,8,na,5374
7,Appellate Lawmaking in Judicial Hierarchy [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Baker, Scott (Cited 232 times)","Journal of Law & Economics, Vol. 58, Issue 1 (February 2015), pp. 139-172",na,2,na,na,na,5374
8,Rationality's Reach [reviews],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Michigan Law Review, Vol. 112, Issue 6 (April 2014), pp. 993-1014",na,2,na,3,na,5374
9,The Fannie and Freddie Bailouts through the Corporate Lens [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Casey, Anthony J. (Cited 280 times)","New York University Journal of Law and Business, Vol. 10, Issue 2 (Spring 2014), pp. 443-478",10 N.Y.U. J.L. & Bus. 443 (Spring 2014),2,na,3,na,5374
10,Introduction to the Bernard Witkin Oral History [article],Adam Badawi,"Badawi, Adam (Cited 62 times)","California Supreme Court Historical Society Yearbook, Vol. 4, pp. 95-108",na,1,na,1,na,5374
11,Influence Costs and the Scope of Board Authority [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Journal of Corporation Law, Vol. 39, Issue 4 (Summer 2014), pp. 675-712",39 J. Corp. L. 675 (2013-2014),1,na,6,na,5374
12,Does the Quality of Plaintiffs' Law Firm Matter in Deal Litigation [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Webber, David H. (Cited 68 times)","Journal of Corporation Law, Vol. 41, Issue 2 (Winter 2015), pp. 359-392",41 J. Corp. L. 359 (Winter 2015),na,na,12,na,5374
13,"Lobbying, Pandering, and Information in the Firm [article]",Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Seattle University Law Review, Vol. 38, Issue 2 (Winter 2015), pp. 215-254",na,na,na,9,na,5374
14,The Reorganization of Fannie and Freddie [notes],Adam Badawi,"Badawi, Adam (Cited 62 times); Casey, Anthony; Skeel, David (Cited 82 times); Wallison, Peter (Cited 3 times); McKenzie, Troy","New York University Journal of Law and Business, Vol. 10, Issue 2 (Spring 2014), pp. 223-264",na,na,na,2,na,5374
15,Foreword [comments],Adam Badawi,"Kim, Pauline (Cited 11 times); Badawi, Adam (Cited 62 times); Hollander-Blumoff, Rebecca (Cited 270 times)","Journal of Empirical Legal Studies, Vol. 13, Issue 4 (2016), pp. 566-566",na,na,na,1,na,5374
0,A Qualitative Theory of the Dead Hand [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times); Wang, William K. S. (Cited 559 times)","Indiana Law Journal, Vol. 68, Issue 1 (Winter 1992), pp. 1-58",68 Ind. L. J. 1 (1992-1993),135,na,33,na,8005
1,Spendthrift Trusts and Public Policy: Economic and Cognitive Perspectives [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington University Law Quarterly, Vol. 73, Issue 1 (Spring 1995), pp. 1-96",73 Wash. U. L. Q. 1 (1995),95,1,6,na,8005
2,Default Rules in Inheritance Law: A Problem in Serach of Its Context [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Fordham Law Review, Vol. 73, Issue 3 (December 2004), pp. 1031-1102",73 Fordham L. Rev. 1031 (December 2004),83,3,49,na,8005
3,Inheritance and Inconsistency [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Ohio Staw Law Journal, Vol. 57, Issue 4 (1996), pp. 1057-1162",57 Ohio St. L.J. 1057 (1996),58,na,18,na,8005
4,Problem of the Insolvent Heir [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Cornell Law Review, Vol. 74, Issue 4 , pp. 587-654",74 Cornell L. Rev. 587 (1988-1989),55,6,4,na,8005
5,Bequests for Purposes: A Unified Theory [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington and Lee Law Review, Vol. 56, Issue 1 (1999), pp. 33-110",56 Wash. & Lee L. Rev. 33 (1999),48,na,13,na,8005
6,Text and Time: A Theory of Testamentary Obsolescence [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington University Law Review, Vol. 86, Issue 3 (2009), pp. 609-664",86 Wash. U. L. Rev. 609 (2008-2009),40,na,9,na,8005
7,Freedom of Testation/Freedom of Contract [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Minnesota Law Review, Vol. 95, Issue 6 (2011), pp. 2180-2253",95 Minn. L. Rev. 2180 (2010-2011),38,na,51,na,8005
8,"Inheritance Law, Legal Contraptions, and the Problem of Doctrinal Change [article]",Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Oregon Law Review, Vol. 79, Issue 3 (Fall 2000), pp. 527-574",79 Or. L. Rev. 527 (2000),33,na,19,na,8005
9,Fear Not the Assest Protection Trust [comments],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Cardozo Law Review, Vol. 27, Issue 6 (April 2006), pp. 2685-2712",na,30,3,13,na,8005
10,Inheritance and Bankruptcy: The Meaning of the Fresh Start [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Hastings Law Journal, Vol. 45, Issue 2 (January 1994), pp. 175-248",45 Hastings L.J. 175 (1993-1994),30,4,12,na,8005
11,"Trusts for Purposes: Policy, Ambiguity, and Anomaly in the Uniform Laws [article]",Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Florida State University Law Review, Vol. 26, Issue 4 (Summer 1999), pp. 913-958",26 Fla. St. U. L. Rev. 913 (1998-1999),29,2,14,na,8005
12,Cognitive Jurisprudence [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Southern California Law Review, Vol. 76, pp. 1331-1370",76 S. Cal. L. Rev. 1331 (2002-2003),24,na,6,na,8005
13,Evolutionary Theories of Common Law Efficiency: Reasons for (Cognitive) Skepticism [notes],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Florida State University Law Review, Vol. 32, Issue 2 (Winter 2005), pp. 425-442",na,21,na,21,na,8005
14,Revisions in Need of Revising: The Uniform Disclaimer of Property Interests Act [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Florida State University Law Review, Vol. 29, Issue 1 (Fall 2001), pp. 109-188",29 Fla. St. U. L. Rev. 109 (2001-2002),19,na,5,na,8005
15,Incomplete Wills [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Michigan Law Review, Vol. 111, Issue 8 (June 2013), pp. 1423-1480",111 Mich. L. Rev. 1423 (2012-2013),16,na,5,na,8005
16,Formalizing Gratuitous and Contractual Transfers: A Situational Theory [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington University Law Review, Vol. 91, Issue 4 (2014), pp. 797-866",91 Wash. U. L. Rev. 797 (2013-2014),15,na,17,na,8005
17,Law and Proximity [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times); Mitchell, Gregory (Cited 980 times)","University of Illinois Law Review, Vol. 2008, Issue 2 (2008), pp. 557-598",2008 U. Ill. L. Rev. 557 (2008),10,na,15,na,8005
18,The Code Breakers: How States Are Modifying the Uniform Disclaimer of Property Interests Act [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Real Property, Trust and Estate Law Journal, Vol. 46, Issue 2 , pp. 325-376",46 Real Prop. Tr. & Est. L.J. 325 (2011-2012),9,na,1,na,8005
19,Disclaimers and Federalism [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Vanderbilt Law Review, Vol. 67, Issue 6 (November 2014), pp. 1871-1930",na,7,na,4,na,8005
20,Cognitive Jurisprudence [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Southern California Law Review, Vol. 76, Issue 3 (March 2003), pp. 599-638",76 S. Cal. L. Rev. 599 (2002-2003),6,na,10,na,8005
21,Inheritance on the Fringes of Marriage [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","University of Illinois Law Review, Vol. 2018, Issue 1 (2018), pp. 235-280",2018 U. Ill. L. Rev. 235 (2018),4,na,20,na,8005
22,Testation and the Mind [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington and Lee Law Review, Vol. 74, Issue 1 (Winter 2017), pp. 285-368",74 Wash. & Lee L. Rev. 285 (Winter 2017),4,na,19,na,8005
23,Airbrushed Heirs: The Problem of Children Omitted from Wills [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Real Property, Trust and Estate Law Journal, Vol. 50, Issue 2 (Fall 2015), pp. 175-266",50 Real Prop. Tr. & Est. L.J. 175 (2015-2016),3,na,18,na,8005
24,"Gulliver and Tilson, the Classification of Gratuitous Transfers - a Belated Review [article]",Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","University of Queensland Law Journal, Vol. 35, Issue 1 (2016), pp. 127-134",na,1,na,13,na,8005
25,Teaching Wills and Trusts: The Jurisdictional Problem [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Saint Louis University Law Journal, Vol. 58, Issue 3 (Spring 2014), pp. 681-688",na,1,na,2,na,8005
26,Defective Catastrophe Clauses in Wills: Paths to Reform [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Real Property, Trust and Estate Law Journal, Vol. 52, Issue 3 (Winter 2018), pp. 339-368",52 Real Prop. Tr. & Est. L.J. 339 (2017-2018),1,na,6,na,8005
27,Airbrushed Heirs: The Problem of Children Omitted from Wills [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","GP Solo, Vol. 34, Issue 2 (March/April 2017), pp. 56-57",na,na,na,2,na,8005
28,From Pillory to Penitentiary: The Rise of Criminal Incarceration in Early Massachusetts [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Michigan Law Review, Vol. 80, Issue 6 (May 1982), pp. 1179-1269",80 Mich. L. Rev. 1179 (May 1982),na,na,na,na,8005
0,The State (Never) Rests: How Excessive Prosecutorial Caseloads Harm Criminal Defendants [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times); Killinger, Laura R. (Cited 61 times)","Northwestern University Law Review, Vol. 105, Issue 1 (Winter 2011), pp. 261-302",na,60,na,66,na,932
1,The iPhone Meets the Fourth Amendment [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","UCLA Law Review , Vol. 56, Issue 1 (October 2008), pp. 27-58",56 UCLA L. Rev. 27 (2008-2009),59,10,42,na,932
2,Prosecutorial Shaming: Naming Attorneys to Reduce Prosecutorial Misconduct [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","U.C. Davis Law Review, Vol. 42, Issue 4 (April 2009), pp. 1059-1106",42 U.C. Davis L. Rev. 1059 (2008-2009),51,3,62,na,932
3,"Supreme Court's Backwards Proportionality Jurisprudence: Comparing Judicial Review of Excessive Criminal Punishments and Excessive Punitive Damages Awards, The [notes]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Virginia Law Review, Vol. 86, Issue 6 (September 2000), pp. 1249-1302",na,42,1,6,na,932
4,"Informational Approach to the Mass Imprisonment Problem, An [article]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Arizona State Law Journal, Vol. 40, Issue 1 (Spring 2008), pp. 47-84",40 Ariz. St. L.J. 47 (Spring 2008),39,na,21,na,932
5,Password Protected - Can a Password Save Your Cell Phone from a Search Incident to Arrest [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Iowa Law Review, Vol. 96, Issue 4 (May 2011), pp. 1125-1176",96 Iowa L. Rev. 1125 (May 2011),35,2,27,na,932
6,Statewide Capital Punishment: The Case for Eliminating Counties' Role in the Death Penalty [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Vanderbilt Law Review, Vol. 63, Issue 2 (March 2010), pp. 307-360",63 Vand. L. Rev. 307 (2010),34,na,49,na,932
7,Raise the Proof: A Default Rule for Indigent Defense [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Connecticut Law Review, Vol. 40, Issue 1 (November 2007), pp. 85-124",40 Conn. L. Rev. 85 (2007-2008),32,na,19,na,932
8,The Invisible Pillar of Gideon [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Indiana Law Journal, Vol. 80, Issue 3 (Summer 2005), pp. 571-604",80 Ind. L.J. 571 (2005),30,na,7,na,932
9,Imposing a Cap on Capital Punishment [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Missouri Law Review, Vol. 72, Issue 1 (Winter 2007), pp. 73-124",72 Mo. L. Rev. 73 (2007),18,na,10,na,932
10,12 Unnecessary Men: The Case for Eliminating Jury Trials in Drunk Driving Cases [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","University of Illinois Law Review, Vol. 2011, Issue 3 (2011), pp. 961-1010",2011 U. Ill. L. Rev. 961 (2011),15,na,11,na,932
11,"Pay Now, Execute Later: Why Counties Should Be Required to Post a Bond to Seek the Death Penalty [article]",Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","University of Richmond Law Review , Vol. 41, Issue 4 (May 2007), pp. 861-896",na,15,2,12,na,932
12,The Diffusion of Responsibility in Capital Clemency [comments],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Journal of Law & Politics, Vol. 17, Issue 4 (Fall 2001), pp. 669-712",na,14,na,12,na,932
13,Texting while Driving Meets the Fourth Amendment: Deterring Both Texting and Warrantless Cell Phone Searches [article],Adam M. Gershowitz,"Gershowitz, Adam M. (Cited 516 times)","Arizona Law Review, Vol. 54, Issue 3 (2012), pp. 577-620",54 Ariz. L. Rev. 577 (2012),11,na,54,na,932
