Title,List Author,Author(s),id,Journal,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
Nationwide Personal Jurisdiction for Our Federal Courts [comments],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Denver University Law Review, Vol. 87, Issue 2 (2010), pp. 325-334",87 Denv. U. L. Rev. 325 (2009-2010),14,na,16,"Courts, Federal Courts, Jurisdiction, Cause of Action, Discovery, Sanctions",9686.0
Anti-Federalist Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Washington and Lee Law Review, Vol. 64, Issue 1 (Winter 2007), pp. 233-296",64 Wash. & Lee L. Rev. 233 (2007),7,na,4,"Constitutional Law, Jurisdiction, Procedure, Federalism, States",9686.0
The Judicial Power and the Inferior Federal Courts: Exploring the Constitutional Vesting Thesis [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Georgia Law Review, Vol. 46, Issue 1 (Fall 2011), pp. 1-68",46 Ga. L. Rev. 1 (2011-2012),4,na,6,"Constitutional Law, Courts, Federal Courts, Judges, Legal History, Jurisdiction",9686.0
Rationalizing Cost Allocation in Civil Discovery [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Review of Litigation, Vol. 34, Issue 4 (2015), pp. 769-814",34 Rev. Litig. 769 (2015),4,na,23,"Discovery, Comparative and Foreign Law, Economics",9686.0
The Forms Had a Function: Rule 84 and the Appendix of Forms as Guardians of the Liberal Ethos in Civil Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Nevada Law Journal, Vol. 15, Issue 3 (Summer 2015), pp. 1113-1140",15 Nev. L.J. 1113 (2014-2015),4,na,3,"Civil Procedure, Guardians, Procedure, Federal Rules of Civil Procedure, Practice and Procedure, Judgments, Research",9686.0
Terminating Calder: Effects Based Jurisdiction in the Ninth Circuit after Schwarzenegger v. Fred Martin Motor Co. [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Whitter Law Review, Vol. 26, Issue 1 (Fall 2004), pp. 197-[ii]",26 Whittier L. Rev. 197 (2004-2005),3,na,1,"Jurisdiction, Fourteenth Amendment",9686.0
Supporting and Promoting Scholarly Life in Turbulent Times [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Touro Law Review, Vol. 31, Issue 1 (2014), pp. 25-32",31 Touro L. Rev. 25 (2014-2015),1,na,2,"Age, Internet, Research, Courts, Federal Courts, Academic Freedom, Commitment",9686.0
Understanding the Department of Defense's Policy regarding Transgender Servicemembers [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"Army Lawyer, Vol. 2017, Issue 2 (February 2017), pp. 4-17",2017 Army Law. 4 (2017),na,na,10,"Transgender, Administrative Law, Constitutional Law, Sexual Orientation",9686.0
"Substance, Procedure, and the Rules Enabling Act [article]",A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",,"UCLA Law Review, Vol. 66, Issue 3 (April 2019), pp. 654-719",66 UCLA L. Rev. 654 (2019),na,na,na,na,9686.0
The Unconscionability Game: Strategic Judging and the Evolution of Federal Arbitration Law [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"New York University Law Review, Vol. 83, Issue 5 (November 2008), pp. 1420-1490",83 N.Y.U. L. Rev. 1420 (2008),99,2,20,"Arbitration, Dispute Resolution, Judges, Contracts, Courts, Jurisdiction",4416.0
Hierarchy and Heterogeneity: How to Read a Statute in a Lower Court [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Cornell Law Review, Vol. 97, Issue 3 (March 2012), pp. 433-500",97 Cornell L. Rev. 433 (2011-2012),43,na,24,"Courts, Judges, Legislation, Statutory Interpretation, Supreme Court of the United States",4416.0
"Using Statues to Set Legislative Rules: Entrenchment, Separation of Powers, and the Rules of the Proceedings Clause [article]",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Journal of Law & Politics, Vol. 19, Issue 4 (Fall 2003), pp. 345-416",19 J.L. & Pol. 345 (2003),38,na,12,"Constitutional Law, Legislation, Separation, Separation of Powers, Labor-Management Relations, Constitutional Rights",4416.0
Elected Judges and Statutory Interpretation [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times); Leib, Ethan J. (Cited 539 times)",,"University of Chicago Law Review, Vol. 79, Issue 4 (Fall 2012), pp. 1215-1284",79 U. Chi. L. Rev. 1215 (Fall 2012),34,na,27,"Judges, Statutory Interpretation",4416.0
The Supreme Court's Controversial GVRS - and an Alternative [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Michigan Law Review, Vol. 107, Issue 5 (March 2009), pp. 711-756",107 Mich. L. Rev. 711 (2008-2009),26,7,9,"Courts, Practice and Procedure, Confessions, General",4416.0
Following Lower-Court Precedent [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"University of Chicago Law Review, Vol. 81, Issue 3 (Spring 2014), pp. 851-928",81 U. Chi. L. Rev. 851 (2014),22,na,35,"Courts, Judges, Jurisprudence, Supreme Court of the United States",4416.0
The Senate: Out of Order [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Connecticut Law Review, Vol. 43, Issue 4 (May 2011), pp. 1041-1058",43 Conn. L. Rev. 1041 (2010-2011),20,na,10,"Democracy, Politics, Legislation",4416.0
Burying the Continuing Body Theory of the Senate [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Iowa Law Review, Vol. 95, Issue 5 (July 2010), pp. 1401-1466",95 Iowa L. Rev. 1401 (2009-2010),20,na,10,"Politics, Congress, Legislation",4416.0
Deciding When to Decide: How Appellate Procedure Distributes the Costs of Legal Change [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Cornell Law Review, Vol. 96, Issue 2 (January 2011), pp. 203-264",96 Cornell L. Rev. 203 (2010-2011),16,3,5,"Costs, Courts, Jurisprudence, Procedure, Constitutional Law, Judges",4416.0
"If the Judicial Confirmation Process Is Broke, Can a Statute Fix It [article]",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Nebraska Law Review, Vol. 85, Issue 4 (2007), pp. 960-1014",85 Neb. L. Rev. 960 (2006-2007),14,na,3,"Judges, Politics",4416.0
Hierarchically Variable Deference to Agency Interpretations [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Notre Dame Law Review, Vol. 89, Issue 2 (December 2013), pp. 727-784",89 Notre Dame L. Rev. 727 (2013-2014),13,na,9,"Administration Law, Agency, Judges, Jurisdiction, Age",4416.0
Against Mix-and-Match Lawmaking [comments],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Cornell Journal of Law and Public Policy , Vol. 16, Issue 2 (Spring 2007), pp. 349-362",16 Cornell J. L. & Pub. Pol'y 349 (Spring 2007),10,na,3,"Legislation, Government, Subpoenas",4416.0
Communicating the Canons: How Lower Courts React When the Supreme Court Changes the Rules of Statutory Interpretation [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Minnesota Law Review, Vol. 100, Issue 2 (December 2015), pp. 481-560",100 Minn. L. Rev. 481 (2015-2016),9,na,39,"Courts, Judges, Legislation, Statutory Interpretation, Supreme Court of the United States, Federal Courts",4416.0
Justice Unconceived: How Posterity Has Rights [notes],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Yale Journal of Law & the Humanities, Vol. 14, Issue 2 (Summer 2002), pp. 393-440",14 Yale J.L. & Human. 393 (2002),8,na,1,"Jurisprudence, Law and Society, Ethics, Costs",4416.0
"Return of the Line Item Veto - Legalities, Practicalities, and Some Puzzles [article]",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"University of Pennsylvania Journal of Constitutional Law, Vol. 10, Issue 3 (March 2008), pp. 447-498",10 U. Pa. J. Const. L. 447 (2007-2008),6,na,3,"Politics, President/Executive Department, Constitutional Law",4416.0
Public Reason as a Public Good [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Journal of Law in Society, Vol. 4, Issue 2 (Winter 2003), pp. 217-274",4 J.L. Soc'y 217 (2002-2003),5,na,4,"Natural Law, Religion, Jurisprudence",4416.0
When is Finality Final - Rehearing and Resurrection in the Supreme Court [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Journal of Appellate Practice and Process, Vol. 12, Issue 1 (Spring 2011), pp. 1-24",12 J. App. Prac. & Process 1 (2011),4,na,3,"Courts, Judges, Criminal Law and Procedure, Law Enforcement and Corrections",4416.0
The Jurisdiction Canon [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Vanderbilt Law Review, Vol. 70, Issue 2 (March 2017), pp. 499-564",70 Vand. L. Rev. 499 (2017),4,na,28,"Jurisdiction, Legislation, Interpretation and Construction, World Trade Organization, Constitutional Law, International Law",4416.0
Measuring Circuit Splits: A Cautionary Note [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Journal of Law, Vol. 4, Issue 3 (2014), pp. 361-384",4 J. L. 361 (2014),3,na,5,Appellate Review,4416.0
Statutory Interpretation and the Rest of the Iceberg: Divergences between the Lower Federal Courts and the Supreme Court [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Duke Law Journal, Vol. 68, Issue 1 (October 2018), pp. 1-74",68 Duke L.J. 1 (2018-2019),3,na,na,na,4416.0
One Good Plaintiff Is Not Enough [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,"Duke Law Journal, Vol. 67, Issue 3 (December 2017), pp. 481-556",67 Duke L.J. 481 (2017-2018),2,1,27,"Constitutional Law, Courts, Estates, Remedies, Economics, Psychiatry and Psychology, Torts, Women",4416.0
Courtside [notes],Aaron-Andrew P. Bruhl,"Smith, Paul M. (Cited 32 times); Fallow, Katherine A. (Cited 20 times); Mach, Daniel (Cited 30 times); Bruhl, Aaron A. (Cited 410 times)",,"Communications Lawyer, Vol. 23, Issue 1 (Spring 2005), pp. 23-32",23 Comm. Law. 23 (2005-2006),1,na,na,"Government, Agriculture",4416.0
"New Line Item Veto Proposal: This Time Its Constitutional (Mostly), The",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",,na,116 Yale L.J. F. 70,na,na,na,na,4416.0
Separating Amicus Wheat from Chaff [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times); Feldman, Adam (Cited 12 times)",,"Georgetown Law Journal Online, Vol. 106, pp. 135-150",106 Geo. L.J. Online 135 (2017),na,na,19,"Legal Analysis and Writing, Supreme Court of the United States, Courts, Law and Society",4416.0
Interpretive Preferences and the Limits of the New Formalism [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)",,"Berkeley Business Law Journal, Vol. 6, Issue 1 and 2 (2009), pp. 1-54",6 Berkeley Bus. L.J. 1 (2009),16,na,5,"Commercial Law, Contracts, Dispute Resolution, Organizations, General, Ownership",9420.0
"Harm, Ambiguity, and the Regulation of Illegal Contracts [article]",Adam Badawi,"Badawi, Adam B. (Cited 62 times)",,"George Mason Law Review, Vol. 17, Issue 2 (Winter 2010), pp. 483-532",17 Geo. Mason L. Rev. 483 (2009-2010),12,na,14,"Contracts, Regulation",9420.0
Self-Help and the Rules of Engagement [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)",,"Yale Journal on Regulation, Vol. 29, Issue 1 (Winter 2012), pp. 1-44",29 Yale J. on Reg. 1 (Winter 2012),10,na,15,"Law Enforcement, Repossession, State Action, Commercial Code, Credit, Fraud, Uniform Commercial Code",9420.0
Unceasing Animosities and the Public Tranquility: Political Market Failure and the Scope of the Commerce Power [comments],Adam Badawi,"Badawi, Adam (Cited 62 times)",,"California Law Review, Vol. 91, Issue 5 (October 2003), pp. 1331-1374",91 Calif. L. Rev. 1331 (2003),6,na,1,"Constitutional Law, Jurisdiction, Criminal Law and Procedure",9420.0
Merger Class Actions in Delaware and the Symptoms of Multi-Jurisdictional Litigation [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)",,"Washington University Law Review, Vol. 90, Issue 3 (2013), pp. 965-1014",90 Wash. U. L. Rev. 965 (2012-2013),6,na,4,"Class Actions, Adoption, Corporations",9420.0
The Shareholder Wealth Effects of Delaware Litigation [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Chen, Daniel L. (Cited 56 times)",,"American Law and Economics Review, Vol. 19, Issue 2 (Fall 2017), pp. 287-326",Full Text Not Currently Available in HeinOnline,2,na,na,"Plaintiffs, Business Organizations, Jurisdiction, Records",9420.0
Relational Governance and Contract Damages: Evidence from Franchising [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)",,"Journal of Empirical Legal Studies, Vol. 7, Issue 4 (2010), pp. 743-785",7 J. Empirical Legal Stud. 743 (2010),2,na,8,"Agency, Contracts, Damages, Economics, Evidence, Franchising, Commercial Law, Personal Property, Property, Jurisprudence",9420.0
Appellate Lawmaking in Judicial Hierarchy [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Baker, Scott (Cited 232 times)",,"Journal of Law & Economics, Vol. 58, Issue 1 (February 2015), pp. 139-172",Full Text Not Currently Available in HeinOnline,2,na,na,"Courts, Appeals, Court Opinions",9420.0
Rationality's Reach [reviews],Adam Badawi,"Badawi, Adam B. (Cited 62 times)",,"Michigan Law Review, Vol. 112, Issue 6 (April 2014), pp. 993-1014",112 Mich. L. Rev. 993 (2013-2014),2,na,3,"Consumer Protection Law, Economics, Psychiatry and Psychology, Regulation, Banking, Credit, Law and Economics",9420.0
The Fannie and Freddie Bailouts through the Corporate Lens [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Casey, Anthony J. (Cited 280 times)",,"New York University Journal of Law and Business, Vol. 10, Issue 2 (Spring 2014), pp. 443-478",10 N.Y.U. J.L. & Bus. 443 (Spring 2014),2,na,3,"Due Process, Foreclosure, State Action, Victims, Bankruptcy Law, Fourteenth Amendment, Housing Law",9420.0
Introduction to the Bernard Witkin Oral History [article],Adam Badawi,"Badawi, Adam (Cited 62 times)",,"California Supreme Court Historical Society Yearbook, Vol. 4, pp. 95-108",4 Cal. Sup. Ct. Hist. Soc'y Y.B. 95 (1998-1999),1,na,1,"History, Evidence",9420.0
Influence Costs and the Scope of Board Authority [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)",,"Journal of Corporation Law, Vol. 39, Issue 4 (Summer 2014), pp. 675-712",39 J. Corp. L. 675 (2013-2014),1,na,6,"Costs, Lobbying, Corporations, Politics",9420.0
Does the Quality of Plaintiffs' Law Firm Matter in Deal Litigation [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Webber, David H. (Cited 68 times)",,"Journal of Corporation Law, Vol. 41, Issue 2 (Winter 2015), pp. 359-392",41 J. Corp. L. 359 (Winter 2015),na,na,12,"Plaintiffs, Derivative Actions, Mergers",9420.0
"Lobbying, Pandering, and Information in the Firm [article]",Adam Badawi,"Badawi, Adam B. (Cited 62 times)",,"Seattle University Law Review, Vol. 38, Issue 2 (Winter 2015), pp. 215-254",38 Seattle U. L. Rev. 215 (2014-2015),na,na,9,"Lobbying, Costs, Banking, Corporations",9420.0
The Reorganization of Fannie and Freddie [notes],Adam Badawi,"Badawi, Adam (Cited 62 times); Casey, Anthony; Skeel, David (Cited 82 times); Wallison, Peter (Cited 3 times); McKenzie, Troy",,"New York University Journal of Law and Business, Vol. 10, Issue 2 (Spring 2014), pp. 223-264",10 N.Y.U. J.L. & Bus. 223 (Spring 2014),na,na,2,"Takings, Takings Clause, Administrative Law, Regulation, Government",9420.0
Foreword [comments],Adam Badawi,"Kim, Pauline (Cited 11 times); Badawi, Adam (Cited 62 times); Hollander-Blumoff, Rebecca (Cited 270 times)",,"Journal of Empirical Legal Studies, Vol. 13, Issue 4 (2016), pp. 566-566",13 J. Empirical Legal Stud. 566 (2016),na,na,1,"Revolution, Legal Research, Research, Business Organizations, Practice and Procedure, Securities Law",9420.0
A Qualitative Theory of the Dead Hand [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times); Wang, William K. S. (Cited 559 times)",,"Indiana Law Journal, Vol. 68, Issue 1 (Winter 1992), pp. 1-58",68 Ind. L. J. 1 (1992-1993),135,na,33,"Probate Law, Rule Against Perpetuities, Trusts, Property",2172.0
Spendthrift Trusts and Public Policy: Economic and Cognitive Perspectives [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Washington University Law Quarterly, Vol. 73, Issue 1 (Spring 1995), pp. 1-96",73 Wash. U. L. Q. 1 (1995),95,1,6,"Public Policy, Spendthrift Trusts, Trusts, Estate Planning",2172.0
Default Rules in Inheritance Law: A Problem in Serach of Its Context [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Fordham Law Review, Vol. 73, Issue 3 (December 2004), pp. 1031-1102",73 Fordham L. Rev. 1031 (December 2004),83,3,49,"Economics, Estate Planning, Inheritance, Wills, International Law, Private International Law",2172.0
Inheritance and Inconsistency [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Ohio Staw Law Journal, Vol. 57, Issue 4 (1996), pp. 1057-1162",57 Ohio St. L.J. 1057 (1996),58,na,18,"Estate Planning, Inheritance, Jurisprudence",2172.0
Problem of the Insolvent Heir [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Cornell Law Review, Vol. 74, Issue 4 , pp. 587-654",74 Cornell L. Rev. 587 (1988-1989),55,6,4,"Probate Law, Due Process, Liens, Bankruptcy Law",2172.0
Bequests for Purposes: A Unified Theory [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Washington and Lee Law Review, Vol. 56, Issue 1 (1999), pp. 33-110",56 Wash. & Lee L. Rev. 33 (1999),48,na,13,"Charities, Estate Planning, Trusts, Animal Law",2172.0
Text and Time: A Theory of Testamentary Obsolescence [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Washington University Law Review, Vol. 86, Issue 3 (2009), pp. 609-664",86 Wash. U. L. Rev. 609 (2008-2009),40,na,9,"Estates, Wills",2172.0
Freedom of Testation/Freedom of Contract [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Minnesota Law Review, Vol. 95, Issue 6 (2011), pp. 2180-2253",95 Minn. L. Rev. 2180 (2010-2011),38,na,51,"Contracts, Estates, Jurisprudence, Gifts, Wills",2172.0
"Inheritance Law, Legal Contraptions, and the Problem of Doctrinal Change [article]",Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Oregon Law Review, Vol. 79, Issue 3 (Fall 2000), pp. 527-574",79 Or. L. Rev. 527 (2000),33,na,19,"Estate Planning, Inheritance, Democracy, Law and Society, Jurisprudence",2172.0
Fear Not the Assest Protection Trust [comments],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Cardozo Law Review, Vol. 27, Issue 6 (April 2006), pp. 2685-2712",27 Cardozo L. Rev. 2685 (April 2006),30,3,13,"Asset Protection Trusts, Trusts, Federalism, Public Policy, States",2172.0
Inheritance and Bankruptcy: The Meaning of the Fresh Start [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Hastings Law Journal, Vol. 45, Issue 2 (January 1994), pp. 175-248",45 Hastings L.J. 175 (1993-1994),30,4,12,"Bankruptcy, Bankruptcy Law, Inheritance, Probate Law, Interest",2172.0
"Trusts for Purposes: Policy, Ambiguity, and Anomaly in the Uniform Laws [article]",Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Florida State University Law Review, Vol. 26, Issue 4 (Summer 1999), pp. 913-958",26 Fla. St. U. L. Rev. 913 (1998-1999),29,2,14,"Estate Planning, Trusts, Uniform Laws, Comparative Law, Legal History",2172.0
Cognitive Jurisprudence [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Southern California Law Review, Vol. 76, pp. 1331-1370",76 S. Cal. L. Rev. 1331 (2002-2003),24,na,6,"Jurisprudence, Economics, Law and Society",2172.0
Evolutionary Theories of Common Law Efficiency: Reasons for (Cognitive) Skepticism [notes],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Florida State University Law Review, Vol. 32, Issue 2 (Winter 2005), pp. 425-442",32 Fla. St. U. L. Rev. 425 (2004-2005),21,na,21,"Common Law, Practice and Procedure, Jurisprudence",2172.0
Revisions in Need of Revising: The Uniform Disclaimer of Property Interests Act [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Florida State University Law Review, Vol. 29, Issue 1 (Fall 2001), pp. 109-188",29 Fla. St. U. L. Rev. 109 (2001-2002),19,na,5,"Disclaimers, Estate Planning, Inheritance, Property, Trusts, Estates, States",2172.0
Incomplete Wills [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Michigan Law Review, Vol. 111, Issue 8 (June 2013), pp. 1423-1480",111 Mich. L. Rev. 1423 (2012-2013),16,na,5,"Wills, Estates, Statutes",2172.0
Formalizing Gratuitous and Contractual Transfers: A Situational Theory [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Washington University Law Review, Vol. 91, Issue 4 (2014), pp. 797-866",91 Wash. U. L. Rev. 797 (2013-2014),15,na,17,"Contracts, Jurisprudence, Gifts, Wills, Partnerships, Sales",2172.0
Law and Proximity [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times); Mitchell, Gregory (Cited 980 times)",,"University of Illinois Law Review, Vol. 2008, Issue 2 (2008), pp. 557-598",2008 U. Ill. L. Rev. 557 (2008),10,na,15,"Jurisprudence, Psychiatry and Psychology, Deregulation, Assignments",2172.0
The Code Breakers: How States Are Modifying the Uniform Disclaimer of Property Interests Act [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Real Property, Trust and Estate Law Journal, Vol. 46, Issue 2 , pp. 325-376",46 Real Prop. Tr. & Est. L.J. 325 (2011-2012),9,na,1,"Estates, Property, States, Disclaimers, Estate Planning, Inheritance, Trusts, Marijuana, Medical Marijuana",2172.0
Disclaimers and Federalism [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Vanderbilt Law Review, Vol. 67, Issue 6 (November 2014), pp. 1871-1930",67 Vand. L. Rev. 1871 (2014),7,na,4,"Bankruptcy Law, Disclaimers, Federalism, Retirement, Juveniles, Minors, Taxation-Federal",2172.0
Cognitive Jurisprudence [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"Southern California Law Review, Vol. 76, Issue 3 (March 2003), pp. 599-638",76 S. Cal. L. Rev. 599 (2002-2003),6,na,10,"Jurisprudence, Economics, Law and Society",2172.0
Inheritance on the Fringes of Marriage [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)",,"University of Illinois Law Review, Vol. 2018, Issue 1 (2018), pp. 235-280",2018 U. Ill. L. Rev. 235 (2018),4,na,20,"Inheritance, Marriage, Comparative Law, Legislation, Probate Law, Domestic Relations, Estate Planning",2172.0
