,Cluster #,100 Clusters: ,200 Clusters: ,300 Clusters: ,400 Clusters: ,500 Clusters: ,600 Clusters: ,700 Clusters: ,800 Clusters: ,900 Clusters: 
27,27,"['Photographs', 'Three Strikes']",['Deposits'],['Assumption of Risk'],['Tax Liens'],['Sports Facilities'],['Renunciation'],['Uniform Parentage Act'],['Textbooks'],['Weapons']
28,28,['Horses'],['Ethanol'],['Justiciability'],['Refunds'],['Recycling'],['Sports Facilities'],['Medical Research'],['Controlled Substances'],['Adverse Possession']
29,29,['Contributory Negligence'],['Joint Custody'],['Minority Shareholders'],['Recidivism'],['Atomic Energy Law'],['Space Law'],['Joint Venture'],['Impeachment'],['Plea Bargaining']
30,30,['Criminal Investigation'],['Minority Shareholders'],['Tax Liens'],['Horse Racing'],"['Minors', 'Adultery', 'Double Jeopardy']",['Foreign'],['Deductions'],['Corporations: Directors'],['Language Policy']
31,31,['Labor Supply'],['Health Care Industry'],['Ethanol'],['Hockey'],['Truth in Lending'],"['Children', 'Victims', 'Taxation-State and Local', 'Plastic', 'Full Faith and Credit', 'Plain Language', 'Government', 'Segregation']",['Growth Management'],['Nullity'],['Deductions']
32,32,['Illegitimate Children'],['Medical Research'],['Refunds'],['Human Tissue'],['Remediation'],['Civil Commitment'],['Relatives'],['Cy Pres'],['Alcoholism']
33,33,['Revocation'],['Native Americans'],['Guardianship'],['Foreign Currency'],['Lotteries'],['Controlled Substances'],['Hockey'],['Laches'],['Freedom of Information']
34,34,['Justiciability'],['Duty to Rescue'],['Lis Pendens'],['Health Care Industry'],['Relatives'],['Political Crimes'],['Controlled Substances'],['Joint Venture'],['Endangerment']
35,35,['Textbooks'],['Foreign Currency'],['Restaurants'],['Guardianship'],['Growth Management'],['Language Policy'],['Conditional Sales'],['Lotteries'],['Civil Commitment']
36,36,['Privity'],['Justiciability'],['Constitutional Conventions'],['Public Administration'],['Joint Custody'],['Radio and Cable Transmission'],['Three Strikes'],['Initiative and Referendum'],['Medical Ethics']
37,37,['Probation'],['Government Ownership'],['Truth in Lending'],['Overtime'],['Binding Arbitration'],['Binding Arbitration'],['Chemicals'],['Stalking'],['Three Strikes']
38,38,['Expulsion'],['Human Tissue'],['Development Agreements'],['Recycling'],['Native Americans'],['Executors'],['Political Crimes'],['Photographs'],['Corporations: Directors']
39,39,['Grievances'],['Criminal Investigation'],['Recidivism'],['Executors'],['Hockey'],['Horse Racing'],['Uniform Laws'],"[""Patients' Rights""]",['Horse Racing']
40,40,['Correctional Institutions'],['Solid Waste'],['Garbage'],['Remediation'],['Constitutional Conventions'],['Conditional Sales'],['Preventive Detention'],['Relatives'],['Chemicals']
41,41,"['Mineral Resources', 'Mines', 'Unitization']",['Recidivism'],['Consultants'],['Government Ownership'],['Government Ownership'],['Guardianship'],['Constitutional Conventions'],['Uniform Parentage Act'],['Refunds']
42,42,['Periodicals'],['Restaurants'],['Textbooks'],['Open Meetings'],['Restaurants'],['Human Tissue'],['Revocation'],['Civil Commitment'],['Continental Shelf']
43,43,['Crime Prevention'],['Labor Supply'],['Bibliographies'],['Constitutional Conventions'],['Foreign Currency'],['Cy Pres'],['Space Law'],['Uniform Laws'],['Uniform Parentage Act']
44,44,"['Usufruct and Use', 'Servitudes', 'Leases']",['Martial Law'],['Illegitimate Children'],['Labor Supply'],['Textbooks'],['Continental Shelf'],['Recycling'],['Alcoholism'],['Renunciation']
45,45,['Bank Holding Companies'],['Revocation'],['Revocation'],['Garbage'],['Yk'],['Recycling'],['Radiation'],['Concessions'],['Stalking']
46,46,['Deposits'],['Executors'],['Overtime'],['Foreign'],['Joint Venture'],['Constitutional Conventions'],['Foreign'],['Kidnapping'],['Political Crimes']
47,47,['Retardation'],['Illegitimate Children'],['Wiretapping'],['Assumption of Risk'],['Birds'],['Ethanol'],['Tax Liens'],['Toxic Substances'],['Lotteries']
48,48,['Lis Pendens'],['Firefighters'],['Periodicals'],['Criminal Investigation'],['Health Care Industry'],['Concessions'],['Endangerment'],['Space Law'],['Birth Control']
49,49,['Termination of Employment'],['Grievances'],['Government Ownership'],['Construction Contracts'],['Construction Contracts'],['Overtime'],['Contempt'],['Sports Facilities'],['Controlled Substances']
50,50,['Firefighters'],['Privity'],['Cloud Computing'],['Ethanol'],['Cooperatives'],['Health Care Industry'],['Minority Shareholders'],['Radiation'],['Textbooks']
51,51,['Wiretapping'],['Joint and Several Liability'],['Correctional Institutions'],['Termination of Employment'],['Guardianship'],['Restaurants'],['Language Policy'],['Deductions'],['Overtime']
52,52,['Superfund'],['Cloud Computing'],['Rules of Professional Conduct'],['Medical Research'],['Grievances'],['Relatives'],['Horse Racing'],['Foreign'],['Government Ownership']
53,53,['Martial Law'],['Termination of Employment'],['Joint Venture'],['Cloud Computing'],['Laches'],['Open Meetings'],['Continental Shelf'],['Good Samaritans'],['Good Samaritans']
54,54,['Nursing Homes'],['Toxic Substances'],['Open Meetings'],['Treble Damages'],['Foreign'],['Recidivism'],['Civil Commitment'],['Hockey'],['Uniform Laws']
55,55,['Minority Shareholders'],['Open Meetings'],['Termination of Employment'],['Horses'],['Continental Shelf'],['Textbooks'],['Laches'],['Preventive Detention'],['Executors']
56,56,['Joint and Several Liability'],['Crime Prevention'],['Dower'],['Criminal Records'],['Criminal Investigation'],['Public Administration'],['Ethanol'],['Public Administration'],"[""Patients' Rights""]"
57,57,['Cloud Computing'],['Dower'],['Treble Damages'],['Grievances'],['Toxic Substances'],['Movies'],['Refunds'],['Executors'],['Cy Pres']
58,58,['Derivative Securities'],['Consultants'],['Waste Management'],['Movies'],['Political Crimes'],['Contempt'],['Good Samaritans'],['Restaurants'],['Constitutional Conventions']
59,59,['False Statements'],['Lis Pendens'],['Female Genital Mutilation'],['Contempt'],['Development Agreements'],['Right to Jury Trial'],['International Claims'],['Joint Custody'],['Joint Custody']
60,60,['Usury'],['Life Without Parole'],['Reception of Law'],['Fish and Game'],['Open Meetings'],['Tax Liens'],['Executors'],['Refunds'],['Minority Shareholders']
61,61,['Dower'],['Probation'],['Horses'],['Birds'],['Battered Woman Syndrome'],['Battered Woman Syndrome'],['Radio and Cable Transmission'],['Revocation'],['Emigration and Immigration']
62,62,['Reception of Law'],['Infants'],['Labor Supply'],['Minority Shareholders'],['Minority Shareholders'],['Construction Contracts'],['Human Tissue'],['Guardianship'],['Nullity']
63,63,['Insurance Policies'],['Expulsion'],['Life Without Parole'],['Joint Custody'],['Recidivism'],['Uniform Laws'],['Birds'],['Human Tissue'],['Remediation']
64,64,['Redevelopment'],['Renunciation'],['Human Tissue'],['Sports Facilities'],['Horses'],['Symbolic Speech'],['Traffic Accidents'],['Holidays'],['Restaurants']
65,65,['Sources Of'],['Wiretapping'],['Derivative Securities'],['International Claims'],['Marital Property'],['Birds'],['Handicapped'],['Growth Management'],['Relatives']
66,66,['Deeds'],['Reception of Law'],['Foreign Currency'],['Binding Arbitration'],['International Claims'],['Growth Management'],['Cooperatives'],['Judicial Conduct'],['Radiation']
67,67,['Disarmament'],['Horses'],['Joint and Several Liability'],['Invasion of Privacy'],['Sixth Amendment'],['Cooperatives'],['Government Ownership'],['Conscientious Objectors'],['Conscientious Objectors']
68,68,['False Advertising'],['Retardation'],['Usury'],['Toxic Substances'],['Nursing Homes'],['Toxic Substances'],['Remediation'],['Recycling'],['Revocation']
69,69,['Social Workers'],['Usury'],['Infants'],['Lis Pendens'],['Executors'],['Judicial Conduct'],['Guardianship'],['Political Crimes'],['Movies']
70,70,"['Cloning', 'Stem Cells']",['Nursing Homes'],['Foreign'],['Truth in Lending'],['Ethanol'],['Laches'],['Conscientious Objectors'],['Health Care Industry'],['Health Care Industry']
71,71,['Bilingual Education'],['Bank Holding Companies'],['Deposits'],['Restaurants'],['Symbolic Speech'],['Female Genital Mutilation'],['Justiciability'],['Battered Woman Syndrome'],['Right to Bail']
72,72,['and Exemptions'],['Superfund'],['Martial Law'],['Rules of Professional Conduct'],['Treble Damages'],['Assumption of Risk'],['School Districts'],['Continental Shelf'],['Native Americans']
73,73,['Copyrights and Trademarks'],['Sources Of'],['Nursing Homes'],['Consultants'],['Criminal Statistics'],['Grievances'],['Restaurants'],"[""Veterans' Law""]",['Unauthorized Practice of Law']
74,74,['Waste Management'],['Bilingual Education'],['Bilingual Education'],['Martial Law'],['Conditional Sales'],['Joint Venture'],['Joint Custody'],['Constitutional Conventions'],['Birds']
75,75,"[""Workers' Participation in Management"", 'Work Environment']",['Disarmament'],['Duty to Rescue'],['Deposits'],['Assumption of Risk'],['Cloud Computing'],['Toxic Substances'],['Model Business Corporation Act'],['Horses']
76,76,['Sex Trafficking'],"[""Workers' Participation in Management"", 'Work Environment']",['Expulsion'],['Bibliographies'],['School Districts'],['Horses'],['Fish and Game'],['Remediation'],['Kidnapping']
77,77,"['Electoral College', 'Miscellaneous']",['Female Genital Mutilation'],['Solid Waste'],['Development Agreements'],['Public Administration'],['Bribery'],['Sports Facilities'],['Horses'],['Model Business Corporation Act']
78,78,"[""Victims' Compensation""]",['and Exemptions'],['False Advertising'],['Illegitimate Children'],['Uniform Laws'],['Criminal Statistics'],['Open Meetings'],['Truth in Lending'],['Radio and Cable Transmission']
79,79,['Checkpoints'],['Derivative Securities'],['Criminal Records'],['Solid Waste'],['Judicial Conduct'],['Foreign Currency'],['Construction Contracts'],['Movies'],['Tax Liens']
80,80,"['Reverse Engineering', 'Forgery']",['Social Workers'],['Privity'],['Duty to Rescue'],['Moral Rights of Artists'],"[""Veterans' Law""]",['Health Care Industry'],['Open Meetings'],['Space Law']
81,81,['Tax Relief'],['Waste Management'],"['Electoral College', 'Miscellaneous']",['Laches'],['Contempt'],['Yk'],['Moral Rights of Artists'],['Handicapped'],['Hockey']
82,82,['Leasing'],['Periodicals'],['Retardation'],['Correctional Institutions'],['Consultants'],['Post-Conviction Remedies'],['Grievances'],['Native Americans'],['Foreign Currency']
83,83,['Timber'],"['Mines', 'Unitization']",['Firefighters'],['Life Without Parole'],['Justiciability'],['Photographs'],['Foreign Currency'],['Criminal Investigation'],['Growth Management']
84,84,['Depositions'],['False Advertising'],['Social Workers'],['Justiciability'],['Right to Jury Trial'],['Marital Property'],['Binding Arbitration'],['Greenhouse Gases'],['Joint Venture']
85,85,['Computers'],['False Statements'],"[""Victims' Compensation""]",['Periodicals'],['Fish and Game'],['Rules of Professional Conduct'],['Post-Conviction Remedies'],['Pledges'],['Public Administration']
86,86,['Bail'],['Deeds'],['Disarmament'],['Dower'],['Criminal Records'],['Necessity Defense'],['Deceit'],['Overtime'],['Sports Facilities']
87,87,"['Annuities', 'Rule Against Perpetuities', 'Spendthrift Trusts', 'Uniform Probate Code', 'Conflict of Interest', 'Asset Protection Trusts', 'Gifts', 'Duress', 'Limited Liability Companies', 'Rent', 'Limited Partnerships', 'Probate Law', 'Fiduciaries', 'Trusts']",['Insurance Policies'],['Deeds'],['False Advertising'],['Labor Supply'],['Truth in Lending'],['Public Administration'],['Sixth Amendment'],['Toxic Substances']
88,88,['Search Warrants'],['Leasing'],['Redevelopment'],['Yk'],['Holidays'],['Water Pollution'],['Development Agreements'],['Fish and Game'],['Foreign']
89,89,['Civil Law'],"['Electoral College', 'Miscellaneous']",['Crime Prevention'],['Joint and Several Liability'],['Movies'],['Revocation'],['Battered Woman Syndrome'],['Birds'],['Battered Woman Syndrome']
90,90,"['Poverty Law', 'Impeachment', 'Lotteries']",['Tax Relief'],['Bank Holding Companies'],['Female Genital Mutilation'],['Periodicals'],['Criminal Investigation'],['Consultants'],['Tax Liens'],['Recycling']
