,First Name,Last Name,School,Fuzz 1,Fuzz 2,Fuzz 3,Name 1,Name 2,Name 3,School 1,School 2,School 3
39,Tae-Ung,Baik,Hawaii ,100,55,52,Tae-Ung Baik,Karen Tani,Steven Bank,"University of Hawaii, William S. Richardson School of Law","University of California, Berkeley School of Law","University of California, Los Angeles School of Law"
40,Kimberly D.,Bailey,Chicago-Kent ,91,71,61,Kimberly Bailey,Kimberly Krawiec,Kimberly Ferzan,"Chicago-Kent College of Law, Illinois Institute of Technology",Duke University School of Law,University of Virginia School of Law
41,Shalanda H.,Baker,Northeastern ,62,56,53,Shawn Bayern,Katharine Baker,Randal Picker,Florida State University College of Law,"Chicago-Kent College of Law, Illinois Institute of Technology","The University of Chicago, The Law School"
42,Anthony,Baldwin,Mercer ,76,71,69,Anthony Bellia,Anthony Baker,Anthony Varona,Notre Dame Law School,Atlanta's John Marshall Law School,"American University, Washington College of Law"
43,Sabrina,Balgamwalla,Wayne State ,59,57,56,Shyamkrishna Balganesh,Martha Chamallas,Suparna Malempati,University of Pennsylvania Law School,"The Ohio State University, Michael E. Moritz College of Law",Atlanta's John Marshall Law School
44,Alina,Ball,UC Hastings,74,64,64,Asli Bali,Linda Galler,Elena Baylis,"University of California, Los Angeles School of Law",Maurice A. Deane School of Law at Hofstra University,University of Pittsburgh School of Law
45,Taunya Lovell,Banks,Maryland ,100,56,55,Taunya Lovell Banks,Daniel Brinks,Lauren Collins,University of Maryland Francis King Carey School of Law,The University of Texas School of Law,Cleveland-Marshall College of Law at Cleveland State University
46,Samantha,Barbas,Buffalo ,62,57,55,Sarah Burns,Sarah Cravens,Sarah Burstein,New York University School of Law,University of Akron School of Law,University of Oklahoma College of Law
47,Z. Jill,Barclift,Mitchell Hamline ,57,53,52,Jill Horwitz,R. Lisle Baker,Jill Family,"University of California, Los Angeles School of Law",Suffolk University Law School,Widener University Commonwealth Law School
48,Kristen,Bames,Akron ,89,72,67,Kristen Barnes,Kristen Boon,Kristin Kalsem,Syracuse University College of Law,Seton Hall University School of Law,University of Cincinnati College of Law
49,Mario L.,Barnes,Wash. Seattle,89,89,65,Mario Barnes,Mario Barnes,Katherine Barnes,University of Washington School of Law,University of Washington School of Law,The University of Arizona James E. Rogers College of Law
50,Priya,Baskaran,W. Va. Univ. ,64,64,58,Patricia Bryan,Patricia Bryan,Srividhya Ragavan,University of North Carolina School of Law,University of North Carolina School of Law,Texas A&M University School of Law
51,Rishi,Batra,Texas Tech ,59,56,56,Hiroshi Motomura,R. Lisle Baker,Michal Barzuza,"University of California, Los Angeles School of Law",Suffolk University Law School,University of Virginia School of Law
52,Teri D,Baxter,Tennessee ,92,64,59,Teri Baxter,Terri Day,Derrick Carter,University of Tennessee College of Law,Barry University Dwayne O. Andreas School of Law,Valparaiso University Law School
53,Jeannine,Bell,Ind. Maurer,100,100,67,Jeannine Bell,Jeannine Bell,Jeannie Gersen,Indiana University Maurer School of Law,Indiana University Maurer School of Law,Harvard Law School
54,Monica C.,Bell,Yale ,59,59,59,Michael Kelly,Michael Kelly,Michael Kelly,University of San Diego School of Law,Creighton University School of Law,Creighton University School of Law
55,Patricia W.,Bennett,Mississippi Coll. ,67,67,67,Patricia White,Patricia Bryan,Patricia Bryan,University of Miami School of Law,University of North Carolina School of Law,University of North Carolina School of Law
56,Allison K.,Bethel,John Marshall ,62,58,57,Allison Hale,Allison Tirres,Alison Peck,University of Georgia School of Law,DePaul University College of Law,West Virginia University College of Law
57,Raj,Bhala,Kansas ,60,56,55,Ronald Beal,Sanjay Chhablani,Ralf Michaels,Baylor University School of Law,Syracuse University College of Law,Duke University School of Law
58,Elise C.,Boddie,Rutgers ,89,89,54,Elise Boddie,Elise Boddie,Julie Cohen,Rutgers Law School,Rutgers Law School,Georgetown University Law Center
59,Craig M.,Boise,Syracuse ,88,64,57,Craig Boise,Craig Joyce,Craig Johnston,Syracuse University College of Law,University of Houston Law Center,Lewis and Clark Law School
60,Anastasia M.,Boles,Ark. Little Rock ,68,53,52,Anastasia Telesetsky,Alasdair Roberts,Cynthia Jones,University of Idaho College of Law,Suffolk University Law School,"American University, Washington College of Law"
61,Alexander A,Boni-Saenz,Chicago-Kent ,95,70,70,Alexander Boni-Saenz,Alexander Stein,Alexander Bolla,"Chicago-Kent College of Law, Illinois Institute of Technology",Brooklyn Law School,"Samford University, Cumberland School of Law"
62,Nicola,Boothe Perry,Florida A&M ,62,60,60,Michael Perry,Twila Perry,Twila Perry,Emory University School of Law,Rutgers Law School,Rutgers Law School
63,Cristina,Borde,Wisconsin ,71,69,67,Cristina Lockwood,Christina Bohannan,Tristin Green,University of Detroit Mercy School of Law,University of Iowa College of Law,University of San Francisco School of Law
64,Richard A.,Boswell,UC Hastings,91,71,71,Richard Boswell,Richard Rosen,Richard Boldt,"University of California, Hastings College of the Law",Texas Tech University School of Law,University of Maryland Francis King Carey School of Law
65,Nikolas,Bowie,Harvard ,64,64,60,Nicholas Howson,Nicholas Bagley,Nicholas Robinson,The University of Michigan Law School,The University of Michigan Law School,Pace University Elisabeth Haub School of Law
66,Rene,Bowser,St. Thomas-Mpls. ,67,64,62,Reed Loder,Renee Jones,Rachel Brewster,Vermont Law School,Boston College Law School,Duke University School of Law
67,Marie,Boyd,South Carolina ,67,64,64,Mark Brodin,Willard Boyd,Bruce Boyden,Boston College Law School,University of Iowa College of Law,Marquette University Law School
68,Spencer H.,Boyer,Howard ,65,56,53,Spencer Overton,Stephanie Hoffer,Stephen Holmes,The George Washington University Law School,"The Ohio State University, Michael E. Moritz College of Law",New York University School of Law
69,Francis A.,Boyle,Illinois ,90,64,64,Francis Boyle,Francis Shen,Francis Shen,University of Illinois College of Law,University of Minnesota Law School,University of Minnesota Law School
70,David A.,Brennen,Kentucky ,90,69,69,David Brennen,David Kennedy,David Kennedy,University of Kentucky College of Law,Harvard Law School,Harvard Law School
71,Sara,Bronin,Connecticut ,100,87,73,Sara Bronin,Sarah Boonin,Sarah Burns,University of Connecticut School of Law,Suffolk University Law School,New York University School of Law
72,Carol N.,Brown,Richmond ,88,69,64,Carol Brown,Darryl Brown,Karen Brown,The University of Richmond School of Law,University of Virginia School of Law,The George Washington University Law School
73,Karen B.,Brown,George Washington ,88,72,72,Karen Brown,Kevin Brown,Kevin Brown,The George Washington University Law School,Indiana University Maurer School of Law,Indiana University Maurer School of Law
74,Kevin D.,Brown,Ind. Maurer,88,88,72,Kevin Brown,Kevin Brown,Karen Brown,Indiana University Maurer School of Law,Indiana University Maurer School of Law,The George Washington University Law School
75,Stephanie Y.,Brown,Dist. of Columbia ,73,69,67,Stephanie Stern,Stephanie McMahon,Stephanie Davidson,"Chicago-Kent College of Law, Illinois Institute of Technology",University of Cincinnati College of Law,University of Illinois College of Law
76,Vanessa S.,Browne-Barbour,South Texas Houston ,56,47,46,Vanessa Merton,Jane Bambauer,Melissa Breger,Pace University Elisabeth Haub School of Law,The University of Arizona James E. Rogers College of Law,Albany Law School
77,Tomiko,Brown-Nagin,Harvard ,100,100,56,Tomiko Brown-Nagin,Tomiko Brown-Nagin,Thomas Brennan,Harvard Law School,Harvard Law School,Harvard Law School
78,Alexia,Brunet Marks,Colorado ,100,57,55,Alexia Brunet Marks,Alexander Capron,Alex Seita,University of Colorado Law School,University of Southern California Gould School of Law,Albany Law School
79,Lolita K.,Buckner Inniss,Southern Methodist ,93,47,47,Lolita Buckner Inniss,Lisa Bernstein,Alexia Brunet Marks,"Southern Methodist University, Dedman School of Law","The University of Chicago, The Law School",University of Colorado Law School
80,Jessie W.,Burchfield,Ark. Little Rock ,65,65,55,Jesse Fried,Jesse Fried,Jessica Wimer,Harvard Law School,Harvard Law School,"University of California, Irvine School of Law"
81,Alafair S.,Burke,Hofstra ,90,59,57,Alafair Burke,Karen Burke,Barlow Burke,Maurice A. Deane School of Law at Hofstra University,University of Florida Fredric G. Levin College of Law,"American University, Washington College of Law"
82,Maxine,Burkett,Hawaii ,100,64,64,Maxine Burkett,Daniel Barnett,Dan Burk,"University of Hawaii, William S. Richardson School of Law","University of Hawaii, William S. Richardson School of Law","University of California, Irvine School of Law"
83,Margaret A.,Burnham,Northeastern ,67,63,63,Margaret Blair,Margaret Raymond,Margaret Harding,Vanderbilt University Law School,University of Wisconsin Law School,Syracuse University College of Law
84,Jay,Butler,William & Mary ,76,73,73,Paul Butler,Lynda Butler,Lynda Butler,Georgetown University Law Center,William & Mary Law School,William & Mary Law School
85,Paul,Butler,Georgetown ,100,76,73,Paul Butler,Paul Baier,Paul Vaaler,Georgetown University Law Center,"Louisiana State University, Paul M. Hebert Law Center",University of Minnesota Law School
86,Keith J.,Bybee,Syracuse ,88,59,59,Keith Bybee,Keith Buckley,Keith Buckley,Syracuse University College of Law,Indiana University Maurer School of Law,Indiana University Maurer School of Law
87,Phoenix,Cai,Denver ,100,55,52,Phoenix Cai,Robin Craig,Stephen Choi,University of Denver Sturm College of Law,"University of Utah, S. J. Quinney College of Law",New York University School of Law
88,Terrence,Cain,Ark. Little Rock,62,62,59,Tracey Maclin,Irene Calboli,Lawrence Solan,Boston University School of Law,Texas A&M University School of Law,Brooklyn Law School
89,Alejandro E.,Camacho,Cal. Irvine,92,61,61,Alejandro Camacho,Alexander Capron,Alejandro Portes,"University of California, Irvine School of Law",University of Southern California Gould School of Law,University of Miami School of Law
90,Christopher Ruiz,Cameron,Southwestern ,88,76,73,Christopher Cameron,Christopher Robertson,Christopher Peterson,Southwestern Law School,The University of Arizona James E. Rogers College of Law,"University of Utah, S. J. Quinney College of Law"
91,Ann M.,Cammett,CUNY ,62,57,52,Ann Scarlett,Anna Carpenter,Anthony Chase,Saint Louis University School of Law,The University of Tulsa College of Law,University of Houston Law Center
92,Paul F.,Campos,Colorado ,88,62,59,Paul Campos,Paul Cassell,Paul Williams,University of Colorado Law School,"University of Utah, S. J. Quinney College of Law","American University, Washington College of Law"
93,Sergio J.,Campos,Miami ,90,55,52,Sergio Campos,Sheri Johnson,Paul Campos,University of Miami School of Law,Cornell Law School,University of Colorado Law School
94,Charles E.,Cantu,St Mary’s,67,67,67,Charles Yablon,Charles Craver,Charles Barzun,Benjamin N. Cardozo School of Law,The George Washington University Law School,University of Virginia School of Law
95,Lan,Cao,Chapman ,100,71,62,Lan Cao,Lance Cole,Dana Cole,Chapman University Dale E. Fowler School of Law,The Pennsylvania State University – Dickinson Law,University of Akron School of Law
96,Bennett,Capers,Brooklyn ,100,73,67,Bennett Capers,Bennett Gershman,Annette Clark,Brooklyn Law School,Pace University Elisabeth Haub School of Law,Seattle University School of Law
97,Kirsten Matoy,Carlson,Wayne state ,61,61,59,Kristen Johnson,Kristen Boon,Jonathan Carlson,Southern Illinois University School of Law,Seton Hall University School of Law,University of Iowa College of Law
98,Montre Denise,Carodine,Alabama ,62,62,54,June Rose Carbone,June Rose Carbone,Monroe Freedman,University of Minnesota Law School,University of Minnesota Law School,Maurice A. Deane School of Law at Hofstra University
99,Gilbert Paul,Carrasco,Willamette ,61,54,54,Gilbert Cole,Robert Correales,Kimberly Yuracko,Notre Dame Law School,"University of Nevada, Las Vegas, William S. Boyd School of Law",Northwestern University Pritzker School of Law
100,Stephen L.,Carter,Yale ,73,71,71,Stephen Clark,Stephen Lee,Stephen Garvey,Albany Law School,"University of California, Irvine School of Law",Cornell Law School
101,W. B.,Carter,George Washington ,86,62,60,W. Carter,William Carter,W. Cardi,The George Washington University Law School,University of Pittsburgh School of Law,Wake Forest University School of Law
102,Larry,Cata Backer,Penn State Law ,64,60,59,Larry Bates,Barbara Black,Lynn Baker,Baylor University School of Law,University of Cincinnati College of Law,The University of Texas School of Law
103,Eunice M.,Caussade,Florida A&M ,54,53,52,Laurence Paul Claus,Toni Massaro,Janice Nadler,University of San Diego School of Law,The University of Arizona James E. Rogers College of Law,Northwestern University Pritzker School of Law
104,Jennifer M.,Chacon,U.C.L.A. ,91,73,73,Jennifer Chacon,Jennifer Morgan,Jennifer Martin,"University of California, Los Angeles School of Law",Indiana University Maurer School of Law,St. Thomas University School of Law
105,Henry L.,Chambers,Jr. Richmtmd ,90,61,57,Henry Chambers,Henry Richardson,Henry Noyes,The University of Richmond School of Law,"Temple University, James E. Beasley School of Law",Chapman University Dale E. Fowler School of Law
106,Kim D.,Chanbonpin,John Marshall ,50,50,47,Eric Chason,Eric Chason,Kevin Johnson,William & Mary Law School,William & Mary Law School,"University of California, Davis, School of Law"
107,Felix B.,Chang,Cincinnati ,59,55,55,Felice Batlan,Wei Fang,Felix Wu,"Chicago-Kent College of Law, Illinois Institute of Technology",Rutgers Law School,Benjamin N. Cardozo School of Law
108,Robert S.,Chang,Seattle ,89,71,69,Robert Chang,Robert Sloane,Robert Chesney,Seattle University School of Law,Boston University School of Law,The University of Texas School of Law
109,Stewart,Chang,Whittier ,75,75,74,Stewart Jay,Stewart Jay,Stewart Schwab,University of Washington School of Law,University of Washington School of Law,Cornell Law School
110,Bernard,Chao,Denver ,100,72,72,Bernard Chao,Bernard Oxman,Bernard Black,University of Denver Sturm College of Law,University of Miami School of Law,Northwestern University Pritzker School of Law
111,Matthew H.,Charily,Western New England ,73,69,65,Matthew Hall,Matthew Parlow,Matthew Schaefer,University of Mississippi School of Law,Chapman University Dale E. Fowler School of Law,University of Nebraska College of Law
112,Guy-Uriel E.,Charles,Duke ,92,50,50,Guy-Uriel Charles,Laurel Oates,Gabriel Chin,Duke University School of Law,Seattle University School of Law,"University of California, Davis, School of Law"
113,Carliss N,Chatman,Northern Illinois ,62,60,59,Carl Coleman,Carol Needham,Christina Whitman,Seton Hall University School of Law,Saint Louis University School of Law,The University of Michigan Law School
114,Alan K.,Chen,Denver ,86,67,64,Alan Chen,Harlan Cohen,Jane Cohen,University of Denver Sturm College of Law,University of Georgia School of Law,The University of Texas School of Law
115,Frederick Tse'shyang,Chen,Quinnipiac Univ. ,67,65,62,Frederick Tung,Frederick Jonassen,Frederick Schauer,Boston University School of Law,Barry University Dwayne O. Andreas School of Law,University of Virginia School of Law
116,Ming Hsu,Chen,Colorado ,58,56,55,Linda Cohen,Shi-Ling Hsu,Alan Chen,"University of California, Irvine School of Law",Florida State University College of Law,University of Denver Sturm College of Law
117,Richard,Chen,Maine ,80,80,78,Richard Rosen,Richard Hasen,Richard Leo,Texas Tech University School of Law,"University of California, Irvine School of Law",University of San Francisco School of Law
118,Ronald K.,Chen,Rutgers ,88,88,69,Ronald Chen,Ronald Chen,Ronald Levin,Rutgers Law School,Rutgers Law School,Washington University in St. Louis School of Law
119,Pat K.,Chew,Pittsburgh ,84,50,50,Pat Chew,Mary Cheh,Kate Shaw,University of Pittsburgh School of Law,The George Washington University Law School,Benjamin N. Cardozo School of Law
120,Sanjay,Chhablani,Syracuse ,100,59,57,Sanjay Chhablani,Alan Calnan,Aaron Caplan,Syracuse University College of Law,Southwestern Law School,"Loyola Law School, Los Angeles"
121,Gabriel “Jack”,Chin,UC Davis,77,69,59,Gabriel Chin,Gabriel Eckstein,Gabriel Feldman,"University of California, Davis, School of Law",Texas A&M University School of Law,Tulane University Law School
122,Stuart,Chinn,Oregon ,72,70,67,Stuart Banner,Mark Chinen,Stuart Green,"University of California, Los Angeles School of Law",Seattle University School of Law,Rutgers Law School
123,Tuneen,Chisolm,Campbell ,55,54,54,Courtney Cahill,Stephen Choi,Quinn Curtis,Florida State University College of Law,New York University School of Law,University of Virginia School of Law
124,Sungjoon,Cho,Chicago-Kent ,100,60,52,Sungjoon Cho,Sumi Cho,Yung Chiang,"Chicago-Kent College of Law, Illinois Institute of Technology",DePaul University College of Law,Fordham University School of Law
125,Margaret,Chon,Seattle ,100,81,79,Margaret Chon,Margaret Johns,Margaret Dalton,Seattle University School of Law,"University of California, Davis, School of Law",University of San Diego School of Law
126,Cyra A.,Choudhury,Florida Intl ,56,48,48,A. Cloud,Craig Arnold,Afra Afsharipour,Emory University School of Law,"University of Louisville, Louis D. Brandeis School of Law","University of California, Davis, School of Law"
127,Brietta R.,Clark,Loyola Los Angeles,90,62,60,Brietta Clark,Annette Clark,Bradford Clark,"Loyola Law School, Los Angeles",Seattle University School of Law,The George Washington University Law School
128,Hunter R.,Clark,Drake ,89,64,62,Hunter Clark,Annette Clark,Roger Clark,Drake University Law School,Seattle University School of Law,Rutgers Law School
129,Sherman J.,Clark,Michigan ,90,69,64,Sherman Clark,Stephen Clark,Gerard Clark,The University of Michigan Law School,Albany Law School,Suffolk University Law School
130,C. Antoinette,Clarke,Ohio Northern ,79,61,56,Annette Clark,Brietta Clark,Hunter Clark,Seattle University School of Law,"Loyola Law School, Los Angeles",Drake University Law School
131,Khelani,Clay,American ,64,62,61,Sherman Clark,Kathleen Clark,Alan Calnan,The University of Michigan Law School,Washington University in St. Louis School of Law,Southwestern Law School
132,Kimberly,Cogdell Boies,North Car. Central ,65,62,58,Kimberly Bailey,Kimberly Robinson,Kimberly Norwood,"Chicago-Kent College of Law, Illinois Institute of Technology",University of Virginia School of Law,Washington University in St. Louis School of Law
133,Juscelino F.,Colares,Case Western Res. ,92,57,57,Juscelino Colares,Justin Collings,Julie Forrester,Case Western Reserve University School of Law,"Brigham Young University, J. Reuben Clark Law School","Southern Methodist University, Dedman School of Law"
134,Robin M.,Collin,Willamette ,62,62,62,Robin Sterling,Robin Nilon,Robin Craig,University of Denver Sturm College of Law,"Temple University, James E. Beasley School of Law","University of Utah, S. J. Quinney College of Law"
135,Lauren M.,Collins,Cleve.-Marshall ,90,73,67,Lauren Collins,Lauren Willis,Carol Collins,Cleveland-Marshall College of Law at Cleveland State University,"Loyola Law School, Los Angeles",University of Tennessee College of Law
136,Jeffrey M.,Colon,Fordham ,90,73,69,Jeffrey Colon,Jeffrey Gordon,Jeffrey Rosen,Fordham University School of Law,Columbia Law School,The George Washington University Law School
137,Fernando,Colon-Navarro,Texas Southern ,59,53,53,Fernanda Nicola,Gerard Clark,Bernard Chao,"American University, Washington College of Law",Suffolk University Law School,University of Denver Sturm College of Law
138,Amanda (Pecchioni),Compton,Charleston ,54,52,52,Sandra Thompson,Anthony Thompson,Amanda Pustilnik,University of Houston Law Center,New York University School of Law,University of Maryland Francis King Carey School of Law
139,Jorge,Contesse,Rutgers ,64,64,62,John Coates,John Coates,George Cohen,Harvard Law School,Harvard Law School,University of Virginia School of Law
140,Celesiina L.,Contreras,Texas A&M ,88,62,57,Celestina Contreras,Melissa Lonegrass,Celestine McConville,Texas A&M University School of Law,"Louisiana State University, Paul M. Hebert Law Center",Chapman University Dale E. Fowler School of Law
141,Jorge L.,Contreras,Utah ,59,58,55,Celestina Contreras,George Foster,John Coates,Texas A&M University School of Law,Lewis and Clark Law School,Harvard Law School
142,Frank Rudy,Cooper,Suffolk ,100,58,56,Frank Rudy Cooper,Franklin Runge,Franklin Snyder,Suffolk University Law School,University of Kentucky College of Law,Texas A&M University School of Law
143,Tanya Asim,Cooper,Pepperdine ,59,54,53,Frank Rudy Cooper,Dana Cole,Thomas Cotter,Suffolk University Law School,University of Akron School of Law,University of Minnesota Law School
144,Charlton C.,Copeland,Miami ,92,65,62,Charlton Copeland,Karl Coplan,Carl Coleman,University of Miami School of Law,Pace University Elisabeth Haub School of Law,Seton Hall University School of Law
145,Roberto L.,Corrada,Denver ,91,71,65,Roberto Corrada,Robert Correales,Robert Cooter,University of Denver Sturm College of Law,"University of Nevada, Las Vegas, William S. Boyd School of Law","University of California, Berkeley School of Law"
146,Nathan,Cortez,Southern Methodist ,100,67,62,Nathan Cortez,Jonathan Cohen,Kathryn Moore,"Southern Methodist University, Dedman School of Law",University of Florida Fredric G. Levin College of Law,University of Kentucky College of Law
147,Robert J.,Cottrol,George Washington ,90,73,69,Robert Cottrol,Robert Cooter,Robert Scott,The George Washington University Law School,"University of California, Berkeley School of Law",Columbia Law School
148,William,Covington,Wash. Seattle,75,73,71,William Johnson,William Casto,William Patton,Saint Louis University School of Law,Texas Tech University School of Law,Whittier Law School
149,Phyliss C.,Craig-Taylor,North Car. Central ,58,51,47,Phyllis Crocker,Celia Taylor,John Taylor,University of Detroit Mercy School of Law,University of Denver Sturm College of Law,West Virginia University College of Law
150,Barbara,Creel,New Mexico ,77,77,76,Barbara Welke,Barbara Welke,Barbara Bressler,University of Minnesota Law School,University of Minnesota Law School,DePaul University College of Law
151,Andrew M.,Crespo,Harvard ,71,67,67,Andrew Moore,Andrew Leipold,Andrew Coan,University of Detroit Mercy School of Law,University of Illinois College of Law,The University of Arizona James E. Rogers College of Law
152,Maria P.,Crist,Dayton ,62,62,60,Marion Crain,Maria Marcus,Katharina Pistor,Washington University in St. Louis School of Law,Fordham University School of Law,Columbia Law School
