,Journal,Vol,Issue,Issue Year,First Page,Last Page,Pages
0,U.C. Davis Law Review,Vol.  22,4 (Summer 1989),1989,1125,1146,1125-1146
0,University of Michigan Journal of Law Reform,Vol.  18,3 (Spring 1985),1985,575,638,575-638
0,Hofstra Law Review,Vol.  11,3 (Spring 1983),1983,861,936,861-936
0,Northwestern University Law Review,Vol.  94,1 (Fall 1999),1999,1,54,1-54
0,American University Law Review,Vol.  42,4 (1993),1993,1257,1268,1257-1268
0,Marquette Law Review,Vol.  73,1 (Fall 1989),1989,76,108,76-108
0,Hofstra Law Review,Vol.  26,3 (Spring 1998),1998,667,696,667-696
0,Hoftsra Law Review,Vol.  1,,,104,124,104-124
0,Yale Law Journal,Vol.  111,1 (October 2001),2001,151,182,151-182
0,Hofstra Law Review,Vol.  10,1 (Fall 1981),1981,149,170,149-170
0,Cornell Law Review,Vol.  98,1 (November 2012),2012,127,180,127-180
0,Vanderbilt Law Review,Vol.  54,3 (April 2001),2001,1133,1156,1133-1156
0,Brooklyn Law Review,Vol.  74,3 (Spring 2009),2009,1061,1108,1061-1108
0,Idaho Law Review,Vol.  18,3 (Summer 1982),1982,411,508,411-508
0,Brooklyn Law Review,Vol.  58,1 (1992),1992,5,34,5-34
0,Connecticut Law Review,Vol.  32,4 (Summer 2000),2000,1379,1410,1379-1410
0,Northwestern University Law Review ,Vol.  74,5,,781,802,781-802
0,Georgetown Law Journal,Vol.  88,4 (April 2000),2000,659,690,659-690
0,Marquette Law Review,Vol.  73,4 (Summer 1990),1990,625,638,625-638
0,Brooklyn Law Review,Vol.  55,3 (Fall 1989),1989,869,882,869-882
0,William Mitchell Law Review,Vol.  27,1 (2000),2000,7,32,7-32
0,Texas International Law Journal,Vol.  34,1 (Winter 1999),1999,1,20,1-20
0,Kentucky Law Journal,Vol.  61,2 (1973),1973,393,418,393-418
0,University of Michigan Journal of Law Reform,Vol.  30,s 2 and 3 (Winter/Spring 1997),1997,563,590,563-590
0,Hofstra Law Review,Vol.  2,2 (Summer 1974),1974,489,520,489-520
0,Brooklyn Law Review,Vol.  52,2 (1986),1986,341,368,341-368
0,U.C. Davis Law Review,Vol.  22,4 (Summer 1989),1989,1161,1164,1161-1164
0,Hastings Law Journal ,Vol.  60,1 (2008-2009),2008,1,26,1-26
0,Cornell Law Review,Vol.  61,6,,1045,1063,1045-1063
0,Duquesne Law Review,Vol.  9,2 (Winter 1970-1971),1970,220,229,220-229
0,Pepperdine Law Review,Vol.  24,3 (1997),1997,839,858,839-858
0,Marquette Law Review ,Vol.  90,1 (Fall 2006),2006,7,20,7-20
0,Oregon Law Review,Vol.  78,1 (Spring 1999),1999,1,26,1-26
0,New York University Law Review,Vol.  67,5 (November 1992),1992,1174,1184,1174-1184
0,South Carolina Law Review,Vol.  62,1 (Autumn 2010),2010,67,104,67-104
0,New York University Law Review,Vol.  56,4 (October 1981),1981,616,623,616-623
0,Duquesne Law Review,Vol.  8,2 (Summer 1970),1970,220,245,220-245
0,Indiana Law Journal,Vol.  75,2 (Spring 2000),2000,667,678,667-678
0,Iowa Law Review,Vol.  57,5 (June 1972),1972,1239,1247,1239-1247
0,Columbia Law Review,Vol.  103,7 (November 2003),2003,1791,1802,1791-1802
0,Michigan Law Review,Vol.  104,8 (August 2006),2006,1983,1992,1983-1992
0,Brooklyn Law Review,Vol.  59,4 (1994),1994,1351,1366,1351-1366
0,Kansas Journal of Law & Public Policy,Vol.  8,1 (1998-1999),1998,27,34,27-34
0,Villanova Law Review,Vol.  39,2 (1994),1994,353,362,353-362
0,Southern California Law Review,Vol.  84,1 (November 2010),2010,125,160,125-160
0,Insurance Counsel Journal,Vol.  37,2 (April 1970),1970,265,280,265-280
0,Hofstra Law Review,Vol.  33,4 (Summer 2005),2005,1149,1154,1149-1154
0,Wake Forest Law Review,Vol.  44,4 (2009),2009,997,1006,997-1006
0,Baylor Law Review,Vol.  67,3 (Fall 2015),2015,521,558,521-558
0,Washington University Law Review,Vol.  90,3 (2013),2013,653,666,653-666
0,Indiana Law Journal,Vol.  90,1 (Winter 2015),2015,237,256,237-256
0,Temple Law Quarterly,Vol.  42,1 (Fall 1968),1968,1,14,1-14
0,Brooklyn Law Review,Vol.  70,3 (Spring 2005),2005,939,948,939-948
0,Kansas Journal of Law & Public Policy,Vol.  10,1 (2000),2000,21,29,21-29
0,Arizona State Law Journal,Vol.  45,4 (Winter 2013),2013,1399,1432,1399-1432
0,Kansas Journal of Law & Public Policy,Vol.  8,1 (1998-1999),1998,54,58,54-58
0,Brooklyn Law Review,Vol.  82,1 (Fall 2016),2016,217,240,217-240
0,Hofstra Law Review,Vol.  7,4 (Summer 1979),1979,843,858,843-858
0,Duquesne Law Review,Vol.  7,2 (Winter 1968-1969),1968,258,261,258-261
0,American University Law Review,Vol.  68,1 (October 2018),2018,281,304,281-304
0,Marquette Law Review,Vol.  101,3 (Spring 2018),2018,775,802,775-802
0,Kansas Journal of Law & Public Policy,Vol.  10,1 (2000),2000,55,59,55-59
0,Widener Law Journal,Vol.  23,3 (2014),2014,641,662,641-662
0,Kansas Journal of Law & Public Policy,Vol.  10,1 (2000),2000,137,143,137-143
0,International Society of Barristers Quarterly,Vol.  13,3 (July 1978),1978,264,296,264-296
0,International Society of Barristers Quarterly,Vol.  9,4 (October 1974),1974,15,74,15-74
0,Journal of Law and Policy,Vol.  9,1 (2000),2000,51,52,51-52
0,Insurance Counsel Journal,Vol.  38,3 (July 1971),1971,339,353,339-353
0,Emory Law Journal,Vol.  52,2 (Spring 2003),2003,557,644,557-644
0,Buffalo Criminal Law Review,Vol.  6,2 (2003),2003,1043,1122,1043-1122
0,Mississippi Law Journal,Vol.  73,3 (Winter 2004),2004,559,638,559-638
0,Federal Sentencing Reporter,Vol.  12,1 (July/August 1999),1999,3,11,3-11
0,Utah Law Review,Vol.  2001,2 (2001),2001,441,508,441-508
0,Federal Sentencing Reporter,Vol.  12,2 (September/October 1999),1999,95,97,95-97
0,Hastings Race and Poverty Law Journal,Vol.  7,1 (Winter 2010),2010,261,284,261-284
0,Federal Sentencing Reporter,Vol.  6,1 (July/August 1993),1993,43,44,43-44
0,Federal Sentencing Reporter,Vol.  9,4 (January/February 1997),1997,184,188,184-188
0,Federal Sentencing Reporter,Vol.  10,5 (March/April 1998),1998,247,252,247-252
0,Federal Sentencing Reporter,Vol.  17,1 (October 2004),2004,46,50,46-50
0,Federal Sentencing Reporter,Vol.  25,4 (April 2013),2013,207,216,207-216
0,Federal Sentencing Reporter,Vol.  5,5 (March/April 1993),1993,267,270,267-270
0,Federal Sentencing Reporter,Vol.  8,6 (May/June 1996),1996,298,298,298-298
0,Hastings Race and Poverty Law Journal,Vol.  7,1 (Winter 2010),2010,285,302,285-302
0,Federal Sentencing Reporter,Vol.  22,3 (February 2010),2010,133,143,133-143
0,Washington University Jurisprudence Review,Vol.  7,1 (2014),2014,77,106,77-106
0,Arizona Law Review,Vol.  60,4 (2018),2018,913,958,913-958
0,Federal Sentencing Reporter,Vol.  8,5 (March/April 1996),1996,252,253,252-253
0,Federal Sentencing Reporter,Vol.  15,3 (February 2003),2003,213,214,213-214
0,Harvard Human Rights Journal,Vol.  3,,,13,52,13-52
0,Human Rights Quarterly,Vol.  9,1 (February 1987),1987,1,18,1-18
0,Whittier Law Review,Vol.  9,3 (1987),1987,491,516,491-516
0,Emory International Law Review,Vol.  11,1 (Spring 1997),1997,29,66,29-66
0,Emory Law Journal,Vol.  54,5 (2005),2005,25,52,25-52
0,Cornell International Law Journal,Vol.  20,2 (Summer 1987),1987,317,336,317-336
0,American Society of International Law Proceedings,Vol.  94,,,95,100,95-100
0,John Marshall Law Review,Vol.  25,2 (Winter 1992),1992,267,294,267-294
0,International Journal of Law and the Family,Vol.  8,1 (1994),1994,62,81,62-81
0,Modern Law Review ,Vol.  73,1 (January 2010),2010,1,29,1-29
0,Human Rights Quarterly,Vol.  23,3 (2001),2001,701,732,701-732
0,Emory International Law Review,Vol.  25,2 (2011),2011,785,810,785-810
0,Emory International Law Review,Vol.  11,1 (Spring 1997),1997,287,350,287-350
0,Human Rights Quarterly,Vol.  22,4 (2000),2000,906,941,906-941
0,Drake Law Review,Vol.  57,4 (2009),2009,829,850,829-850
0,Emory Internationa Law Review,Vol.  12,2 (Spring 1998),1998,973,1020,973-1020
0,Pepperdine Law Review,Vol.  39,(2013),2013,1231,1256,1231-1256
0,Saint Louis University Law Journal,Vol.  57,2 (Winter 2013),2013,287,296,287-296
0,German Yearbook of International Law,Vol.  31,,,307,336,307-336
0,Netherlands Quarterly of Human Rights,Vol.  17,3 (September 1999),1999,229,232,229-232
0,American University Law Review,Vol.  44,4 (April 1995),1995,1383,1384,1383-1384
0,Columbia Human Rights Law Review,Vol.  17,2 (Spring-Summer 1986),1986,159,188,159-188
0,Yearbook of Islamic and Middle Eastern Law,Vol.  5,,,29,41,29-41
0,Third World Legal Studies,Vol.  1988,,,99,118,99-118
0,Green Bag. An Entertaining Journal of Law. (Second Series),Vol.  2,4 (Summer 1999),1999,441,448,441-448
0,,,,,,,
0,Saskatchewan Law Review,Vol.  54,1 (1990),1990,1,4,1-4
0,Journal of Comparative Law,Vol.  2,1 (2007),2007,54,60,54-60
0,Third World Legal Studies,Vol.  1986,,,33,38,33-38
0,Human Rights Quarterly,Vol.  38,1 (February 2016),2016,217,221,217-221
0,International Law FORUM Du Droit International,Vol.  5,1 (February 2003),2003,27,35,27-35
0,Journal of Law and Religion,Vol.  29,1 (February 2014),2014,1,4,1-4
0,Foreign Affairs,Vol.  75,3 (May-June 1996),1996,122,126,122-126
0,Journal of Law and Religion,Vol.  31,1 (March 2016),2016,1,3,1-3
0,Third World Legal Studies,Vol.  1996,,,1,18,1-18
0,Third World Legal Studies,Vol.  1988,,,ix,x,ix-x
0,Mennesker og Rettigheter,Vol.  10,3 (1992),1992,211,222,211-222
0,Tilburg Law Review (Gaunt),Vol.  21,2 (2016),2016,255,274,255-274
0,Journal of Health & Biomedical Law,Vol.  5,2 (2009),2009,309,330,309-330
0,Berkeley Business Law Journal,Vol.  6,1 and 2 (2009),2009,1,54,1-54
0,George Mason Law Review,Vol.  17,2 (Winter 2010),2010,483,532,483-532
0,Yale Journal on Regulation,Vol.  29,1 (Winter 2012),2012,1,44,1-44
0,California Law Review,Vol.  91,5 (October 2003),2003,1331,1374,1331-1374
0,Washington University Law Review,Vol.  90,3 (2013),2013,965,1014,965-1014
0,Journal of Corporation Law,Vol.  39,4 (Summer 2014),2014,675,712,675-712
0,American Law and Economics Review,Vol.  19,2 (Fall 2017),2017,287,326,287-326
0,New York University Journal of Law and Business,Vol.  10,2 (Spring 2014),2014,443,478,443-478
0,Journal of Law & Economics,Vol.  58,1 (February 2015),2015,139,172,139-172
0,Michigan Law Review,Vol.  112,6 (April 2014),2014,993,1014,993-1014
0,Journal of Empirical Legal Studies,Vol.  7,4 (2010),2010,743,785,743-785
0,Journal of Corporation Law,Vol.  41,2 (Winter 2015),2015,359,392,359-392
0,California Supreme Court Historical Society Yearbook,Vol.  4,,,95,108,95-108
0,New York University Journal of Law and Business,Vol.  10,2 (Spring 2014),2014,223,264,223-264
0,Seattle University Law Review,Vol.  38,2 (Winter 2015),2015,215,254,215-254
0,Journal of Empirical Legal Studies,Vol.  13,4 (2016),2016,566,566,566-566
0,California Law Review,Vol.  107,4 (August 2019),2019,1119,1172,1119-1172
0,Yale Law Journal ,Vol.  119,3 (December 2009),2009,458,547,458-547
0,Stanford Law Review,Vol.  59,4 (February 2007),2007,809,856,809-856
0,Columbia Law Review ,Vol.  108,1 (January 2008),2008,1,54,1-54
0,Yale Law Journal,Vol.  125,1 (October 2015),2015,104,225,104-225
0,University of Pennsylvania Law Review,Vol.  157,2 (December 2008),2008,341,394,341-394
0,California Law Review,Vol.  92,2 (March 2004),2004,373,424,373-424
0,University of Chicago Law Review,Vol.  80,1 (Winter 2013),2013,87,136,87-136
0,New York University Law Review,Vol.  79,3 (June 2004),2004,751,802,751-802
0,University of Chicago Law Review,Vol.  74,(2007),2007,1671,1688,1671-1688
0,University of Chicago Law Review,Vol.  75,4 (Fall 2008),2008,1493,1540,1493-1540
0,Loyola of Los Angeles Law Review,Vol.  33,4 (June 2000),2000,1309,1350,1309-1350
0,Supreme Court Review,Vol.  2012,,,31,66,31-66
0,Journal of Law & Economics,Vol.  57,4 (November 2014),2014,937,974,937-974
0,Supreme Court Review ,Vol.  2004,1 (2004),2004,409,452,409-452
0,University of Chicago Law Review,Vol.  79,4 (Fall 2012),2012,1285,1350,1285-1350
0,University of Chicago Law Review,Vol.  78,2 (Spring 2011),2011,553,604,553-604
0,New York University Law Review ,Vol.  84,6 (December 2009),2009,1403,1463,1403-1463
0,Journal of Legal Analysis,Vol.  5,1 (Spring 2013),2013,61,106,61-106
0,Virginia Law Review,Vol.  93,2 (April 2007),2007,361,414,361-414
0,Columbia Law Review Sidebar,Vol.  108,,,31,38,31-38
0,University of Chicago Law Review,Vol.  80,1 (Winter 2013),2013,1,6,1-6
0,Immigration and Nationality Law Review,Vol.  31,,,215,276,215-276
0,Immigration and Nationality Law Review,Vol.  25,,,509,560,509-560
0,Virginia Law Review in Brief,Vol.  93,,,41,44,41-44
0,University of Pennsylvania Law Review PENNumbra,Vol.  157,,,275,282,275-282
0,Journal of Legal Studies,Vol.  47,1 Supplement (January 2018),2018,S195,S228,S195-S228
0,Michigan Law Review First Impressions,Vol.  105,,,53,57,53-57
0,William and Mary Law Review,Vol.  52,3 (December 2010),2010,923,996,923-996
0,Virginia Tax Review,Vol.  26,3 (Winter 2007),2007,555,630,555-630
0,Wisconsin Law Review,Vol.  2012,3 (2012),2012,717,786,717-786
0,Northwestern Journal of International Law and Business,Vol.  29,3 (Summer 2009),2009,713,762,713-762
0,SMU Law Review,Vol.  62,1 (Winter 2009),2009,239,298,239-298
0,Florida Tax Review,Vol.  17,6 (2015),2015,471,526,471-526
0,ILSA Journal of International & Comparative Law,Vol.  14,2 (Spring 2008),2008,303,316,303-316
0,Florida State University Law Review,Vol.  42,2 (Winter 2015),2015,373,426,373-426
0,Northwestern University Law Review,Vol.  108,3 (Spring 2014),2014,1029,1082,1029-1082
0,Northwestern University Law Review,Vol.  100,1 (2006),2006,379,404,379-404
0,Tax Law Review,Vol.  71,2 (Winter 2018),2018,415,ii,415-ii
0,Tax Lawyer,Vol.  50,3 (Spring 1997),1997,677,684,677-684
0,Constitutional Commentary,Vol.  29,2 (Spring 2014),2014,127,166,127-166
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2013,,,[192],[194],[192]-[194]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2015,,,[199],[201],[199]-[201]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2013,,,[9],[10],[9]-[10]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2017,,,[74],[75],[74]-[75]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2016,,,[93],[94],[93]-[94]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2011,,,[27],[28],[27]-[28]
0,Washington University Journal of Law & Policy,Vol.  44,,,79,102,79-102
0,Journal of Empirical Legal Studies,Vol.  12,4 ( December 2015),2015,757,780,757-780
0,New York University Law Review,Vol.  86,2 (May 2011),2011,500,572,500-572
0,Columbia Law Review,Vol.  112,8 (December 2012),2012,1992,2067,1992-2067
0,Duke Law Journal,Vol.  59,6 (March 2010),2010,1105,1176,1105-1176
0,University of Pennsylvania Law Review,Vol.  159,5 (April 2011),2011,1385,1456,1385-1456
0,Yale Law Journal,Vol.  126,6 (April 2017),2017,1634,1729,1634-1729
0,Virginia Law Review,Vol.  101,1 (March 2015),2015,129,192,129-192
0,Washington University Law Review,Vol.  94,3 (2017),2017,545,606,545-606
0,University of Cincinnati Law Review,Vol.  82,2 (Winter 2013),2013,381,414,381-414
0,Fordham Law Review,Vol.  85,5 (April 2017),2017,2275,2298,2275-2298
0,University of Pennsylvania Law Review,Vol.  163,5 (April 2015),2015,1393,1462,1393-1462
0,Journal of Tort Law,Vol.  5,,,189,226,189-226
0,Emory Law Journal,Vol.  63,6 (2013-2014),2013,1317,1338,1317-1338
0,University of Kansas Law Review,Vol.  65,5 (August 2017),2017,1053,1094,1053-1094
0,Georgetown Law Journal,Vol.  87,5 (May 1999),1999,1750,1790,1750-1790
0,New York University Journal of Law & Business,Vol.  11,4 (2015),2015,699,724,699-724
0,Administrative & Regulatory Law News,Vol.  43,3 (Spring 2018),2018,10,11,10-11
0,Georgetown Law Journal,Vol.  87,5 (May 1999),1999,1746,1749,1746-1749
0,Stanford Law Review,Vol.  62,5 (May 2010),2010,1293,1360,1293-1360
0,Notre Dame Law Review,Vol.  84,1 (November 2008),2008,245,330,245-330
0,Boston College Law Review,Vol.  48,5 (November 2007),2007,1237,1300,1237-1300
0,South Carolina Law Review,Vol.  63,3 (Spring 2012),2012,481,516,481-516
0,Notre Dame Law Review,Vol.  86,3 (July 2011),2011,1131,1180,1131-1180
0,Wisconsin Law Review,Vol.  2001,6 (2001),2001,1493,1540,1493-1540
0,Iowa Law Review,Vol.  92,4 (May 2007),2007,1183,1236,1183-1236
0,Emory Law Journal,Vol.  66,1 (2016),2016,1,54,1-54
0,Virginia Law Review,Vol.  99,8 (December 2013),2013,1737,1810,1737-1810
0,Vanderbilt Law Review,Vol.  69,2 (March 2016),2016,333,400,333-400
0,Washington Law Review,Vol.  81,2 (May 2006),2006,279,336,279-336
0,University of Pittsburgh Law Review,Vol.  65,3 (Spring 2004),2004,545,596,545-596
0,Hastings Law Journal,Vol.  66,3 (2015),2015,795,822,795-822
0,Southwestern Journal of International Law,Vol.  18,2 (2012),2012,417,444,417-444
0,Vanderbilt Law Review,Vol.  71,5 (October 2018),2018,1401,1462,1401-1462
0,Review of Litigation,Vol.  32,4: Symposium (2013),2013,649,690,649-690
0,Boston University Law Review,Vol.  97,6 (December 2017),2017,1947,2010,1947-2010
0,Yale Law Journal Forum,Vol.  128,,,1,21,1-21
0,Brief,Vol.  34,1 (Fall 2004),2004,16,23,16-23
0,Vanderbilt Law Review En Banc,Vol.  70,,,289,300,289-300
0,Northwestern University Law Review Colloquy,Vol.  103,,,230,241,230-241
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2018,,,1,2,1-2
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2014,,,[278],[280],[278]-[280]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2017,,,[7],[8],[7]-[8]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2011,,,[217],[218],[217]-[218]
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2016,,,[119],[121],[119]-[121]
0,Florida Law Review Forum,Vol.  64,,,56,58,56-58
0,Washington and Lee Law Review,Vol.  63,1 (Winter 2006),2006,81,146,81-146
0,Jotwell: The Journal of Things We Like (Lots),Vol.  2019,,,1,2,1-2
0,New York University Law Review,Vol.  86,2 (May 2011),2011,500,572,500-572
0,Columbia Law Review,Vol.  112,8 (December 2012),2012,1992,2067,1992-2067
0,Duke Law Journal,Vol.  59,6 (March 2010),2010,1105,1176,1105-1176
0,University of Pennsylvania Law Review,Vol.  159,5 (April 2011),2011,1385,1456,1385-1456
0,Yale Law Journal,Vol.  126,6 (April 2017),2017,1634,1729,1634-1729
0,Virginia Law Review,Vol.  101,1 (March 2015),2015,129,192,129-192
0,Washington University Law Review,Vol.  94,3 (2017),2017,545,606,545-606
0,University of Cincinnati Law Review,Vol.  82,2 (Winter 2013),2013,381,414,381-414
0,Fordham Law Review,Vol.  85,5 (April 2017),2017,2275,2298,2275-2298
0,University of Pennsylvania Law Review,Vol.  163,5 (April 2015),2015,1393,1462,1393-1462
0,Journal of Tort Law,Vol.  5,,,189,226,189-226
0,Emory Law Journal,Vol.  63,6 (2013-2014),2013,1317,1338,1317-1338
0,University of Kansas Law Review,Vol.  65,5 (August 2017),2017,1053,1094,1053-1094
0,Georgetown Law Journal,Vol.  87,5 (May 1999),1999,1750,1790,1750-1790
0,New York University Journal of Law & Business,Vol.  11,4 (2015),2015,699,724,699-724
0,Administrative & Regulatory Law News,Vol.  43,3 (Spring 2018),2018,10,11,10-11
0,Georgetown Law Journal,Vol.  87,5 (May 1999),1999,1746,1749,1746-1749
0,American Criminal Law Review,Vol.  38,1 (Winter 2001),2001,111,146,111-146
0,Arizona State Law Journal,Vol.  37,3 (Fall 2005),2005,759,830,759-830
0,Oregon Law Review ,Vol.  85,3 (2006),2006,649,770,649-770
0,Kentucky Law Journal,Vol.  87,2 (1998-1999),1998,357,416,357-416
0,University of Colorado Law Review,Vol.  75,3 (2004),2004,667,744,667-744
0,Seton Hall Law Review,Vol.  40,1 (2010),2010,1,82,1-82
0,University of Toledo Law Review,Vol.  37,3 (Spring 2006),2006,705,746,705-746
0,Berkeley Journal of Employment and Labor Law,Vol.  25,2 (2004),2004,275,350,275-350
0,Buffalo Law Review,Vol.  56,3 (July 2008),2008,737,820,737-820
0,Harvard Civil Rights-Civil Liberties Law Review,Vol.  49,1 (Winter 2014),2014,59,124,59-124
0,Nevada Law Journal,Vol.  11,3 (Summer 2011),2011,561,628,561-628
0,Buffalo Law Review,Vol.  63,5 (December 2015),2015,1061,1140,1061-1140
0,Wisconsin Law Review,Vol.  2018,6 (2018),2018,1065,1132,1065-1132
0,Michigan Journal of Race & Law ,Vol.  12,2 (Spring 2007),2007,235,304,235-304
0,Columbia Journal of Law & the Arts,Vol.  34,3 (2011),2011,367,420,367-420
0,Federal Communications Law Journal,Vol.  63,1 (December 2010),2010,141,194,141-194
0,Temple Law Review,Vol.  85,2 (Winter 2013),2013,269,314,269-314
0,Western New England Law Review,Vol.  34,2 (2012),2012,489,506,489-506
0,Hastings Law Journal,Vol.  45,4 (April 1994),1994,867,960,867-960
0,Journal of Law & Politics,Vol.  18,1 (Winter 2002),2002,119,214,119-214
0,Stanford Law Review,Vol.  50,3 (February 1998),1998,915,1014,915-1014
0,U.C. Davis Law Review,Vol.  42,3 (February 2009),2009,717,824,717-824
0,Case Western Reserve Law Review,Vol.  57,1 (Fall 2006),2006,55,146,55-146
0,University of San Francisco Law Review,Vol.  45,2 (Fall 2010),2010,389,436,389-436
0,McGeorge Law Review,Vol.  32,3 (2001),2001,837,876,837-876
0,Hastings Constitutional Law Quarterly,Vol.  38,3 (Spring 2011),2011,505,542,505-542
0,Boston College Law Revew,Vol.  33,4 (July 1992),1992,689,762,689-762
0,Hastings Law Journal ,Vol.  60,6 (2008-2009),2008,1205,1244,1205-1244
0,Cardozo Law Review,Vol.  32,5 (May 2011),2011,1701,1730,1701-1730
0,Green Bag. An Entertaining Journal of Law. (Second Series),Vol.  5,4 (Summer 2002),2002,361,370,361-370
0,Harvard Journal of Law & Public Policy,Vol.  33,3 (Summer 2010),2010,925,934,925-934
0,Green Bag. An Entertaining Journal of Law. (Second Series),Vol.  9,1 (Autumn 2005),2005,17,26,17-26
0,Journal of Contemporary Legal Issues,Vol.  21,,,201,272,201-272
0,Loyola of Los Angeles Law Review,Vol.  46,2 (Winter 2013),2013,491,540,491-540
0,Federal Lawyer,Vol.  48,3 (March-April 2001),2001,27,33,27-33
0,Northwestern University Law Review,Vol.  106,2 (Spring 2012),2012,605,656,605-656
0,Green Bag. An Entertaining Journal of Law. (Second Series),Vol.  12,4 (Summer 2009),2009,381,396,381-396
0,Loyola of Los Angeles Law Review,Vol.  48,2 (Winter 2014),2014,371,438,371-438
0,U.C. Davis Law Review,Vol.  47,5 (June 2014),2014,1521,1538,1521-1538
0,Hastings Constitutional Law Quarterly,Vol.  32,1 (Fall 2004),2004,637,652,637-652
0,Journal of Civil Rights and Economic Development,Vol.  31,1 (Spring 2018),2018,71,114,71-114
