Title,List Author,Author(s),Journal,Journal,Vol,Issue,Pages,BBCite,Cited (articles),Cited (cases),Accessed,Topics,ID
Nationwide Personal Jurisdiction for Our Federal Courts [comments],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Denver University Law Review, Vol. 87, Issue 2 (2010), pp. 325-334","Denver University Law Review, ",Vol.  87,2 (2010),325-334,87 Denv. U. L. Rev. 325 (2009-2010),14,na,16,"Courts, Federal Courts, Jurisdiction, Cause of Action, Discovery, Sanctions",9686
Anti-Federalist Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Washington and Lee Law Review, Vol. 64, Issue 1 (Winter 2007), pp. 233-296","Washington and Lee Law Review, ",Vol.  64,1 (Winter 2007),233-296,64 Wash. & Lee L. Rev. 233 (2007),7,na,4,"Constitutional Law, Jurisdiction, Procedure, Federalism, States",9686
The Judicial Power and the Inferior Federal Courts: Exploring the Constitutional Vesting Thesis [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Georgia Law Review, Vol. 46, Issue 1 (Fall 2011), pp. 1-68","Georgia Law Review, ",Vol.  46,1 (Fall 2011),Jan-68,46 Ga. L. Rev. 1 (2011-2012),4,na,6,"Constitutional Law, Courts, Federal Courts, Judges, Legal History, Jurisdiction",9686
Rationalizing Cost Allocation in Civil Discovery [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Review of Litigation, Vol. 34, Issue 4 (2015), pp. 769-814","Review of Litigation, ",Vol.  34,4 (2015),769-814,34 Rev. Litig. 769 (2015),4,na,23,"Discovery, Comparative and Foreign Law, Economics",9686
The Forms Had a Function: Rule 84 and the Appendix of Forms as Guardians of the Liberal Ethos in Civil Procedure [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Nevada Law Journal, Vol. 15, Issue 3 (Summer 2015), pp. 1113-1140","Nevada Law Journal, ",Vol.  15,3 (Summer 2015),1113-1140,15 Nev. L.J. 1113 (2014-2015),4,na,3,"Civil Procedure, Guardians, Procedure, Federal Rules of Civil Procedure, Practice and Procedure, Judgments, Research",9686
Terminating Calder: Effects Based Jurisdiction in the Ninth Circuit after Schwarzenegger v. Fred Martin Motor Co. [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Whitter Law Review, Vol. 26, Issue 1 (Fall 2004), pp. 197-[ii]","Whitter Law Review, ",Vol.  26,1 (Fall 2004),197-[ii],26 Whittier L. Rev. 197 (2004-2005),3,na,1,"Jurisdiction, Fourteenth Amendment",9686
Supporting and Promoting Scholarly Life in Turbulent Times [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Touro Law Review, Vol. 31, Issue 1 (2014), pp. 25-32","Touro Law Review, ",Vol.  31,1 (2014),25-32,31 Touro L. Rev. 25 (2014-2015),1,na,2,"Age, Internet, Research, Courts, Federal Courts, Academic Freedom, Commitment",9686
Understanding the Department of Defense's Policy regarding Transgender Servicemembers [article],A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","Army Lawyer, Vol. 2017, Issue 2 (February 2017), pp. 4-17","Army Lawyer, ",Vol.  2017,2 (February 2017),17-Apr,2017 Army Law. 4 (2017),na,na,10,"Transgender, Administrative Law, Constitutional Law, Sexual Orientation",9686
"Substance, Procedure, and the Rules Enabling Act [article]",A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)","UCLA Law Review, Vol. 66, Issue 3 (April 2019), pp. 654-719","UCLA Law Review, ",Vol.  66,3 (April 2019),654-719,66 UCLA L. Rev. 654 (2019),na,na,na,na,9686
The Unconscionability Game: Strategic Judging and the Evolution of Federal Arbitration Law [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","New York University Law Review, Vol. 83, Issue 5 (November 2008), pp. 1420-1490","New York University Law Review, ",Vol.  83,5 (November 2008),1420-1490,83 N.Y.U. L. Rev. 1420 (2008),99,2,20,"Arbitration, Dispute Resolution, Judges, Contracts, Courts, Jurisdiction",4416
Hierarchy and Heterogeneity: How to Read a Statute in a Lower Court [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Cornell Law Review, Vol. 97, Issue 3 (March 2012), pp. 433-500","Cornell Law Review, ",Vol.  97,3 (March 2012),433-500,97 Cornell L. Rev. 433 (2011-2012),43,na,24,"Courts, Judges, Legislation, Statutory Interpretation, Supreme Court of the United States",4416
"Using Statues to Set Legislative Rules: Entrenchment, Separation of Powers, and the Rules of the Proceedings Clause [article]",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Journal of Law & Politics, Vol. 19, Issue 4 (Fall 2003), pp. 345-416","Journal of Law & Politics, ",Vol.  19,4 (Fall 2003),345-416,19 J.L. & Pol. 345 (2003),38,na,12,"Constitutional Law, Legislation, Separation, Separation of Powers, Labor-Management Relations, Constitutional Rights",4416
Elected Judges and Statutory Interpretation [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times); Leib, Ethan J. (Cited 539 times)","University of Chicago Law Review, Vol. 79, Issue 4 (Fall 2012), pp. 1215-1284","University of Chicago Law Review, ",Vol.  79,4 (Fall 2012),1215-1284,79 U. Chi. L. Rev. 1215 (Fall 2012),34,na,27,"Judges, Statutory Interpretation",4416
The Supreme Court's Controversial GVRS - and an Alternative [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Michigan Law Review, Vol. 107, Issue 5 (March 2009), pp. 711-756","Michigan Law Review, ",Vol.  107,5 (March 2009),711-756,107 Mich. L. Rev. 711 (2008-2009),26,7,9,"Courts, Practice and Procedure, Confessions, General",4416
Following Lower-Court Precedent [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","University of Chicago Law Review, Vol. 81, Issue 3 (Spring 2014), pp. 851-928","University of Chicago Law Review, ",Vol.  81,3 (Spring 2014),851-928,81 U. Chi. L. Rev. 851 (2014),22,na,35,"Courts, Judges, Jurisprudence, Supreme Court of the United States",4416
The Senate: Out of Order [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Connecticut Law Review, Vol. 43, Issue 4 (May 2011), pp. 1041-1058","Connecticut Law Review, ",Vol.  43,4 (May 2011),1041-1058,43 Conn. L. Rev. 1041 (2010-2011),20,na,10,"Democracy, Politics, Legislation",4416
Burying the Continuing Body Theory of the Senate [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Iowa Law Review, Vol. 95, Issue 5 (July 2010), pp. 1401-1466","Iowa Law Review, ",Vol.  95,5 (July 2010),1401-1466,95 Iowa L. Rev. 1401 (2009-2010),20,na,10,"Politics, Congress, Legislation",4416
Deciding When to Decide: How Appellate Procedure Distributes the Costs of Legal Change [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Cornell Law Review, Vol. 96, Issue 2 (January 2011), pp. 203-264","Cornell Law Review, ",Vol.  96,2 (January 2011),203-264,96 Cornell L. Rev. 203 (2010-2011),16,3,5,"Costs, Courts, Jurisprudence, Procedure, Constitutional Law, Judges",4416
"If the Judicial Confirmation Process Is Broke, Can a Statute Fix It [article]",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Nebraska Law Review, Vol. 85, Issue 4 (2007), pp. 960-1014","Nebraska Law Review, ",Vol.  85,4 (2007),960-1014,85 Neb. L. Rev. 960 (2006-2007),14,na,3,"Judges, Politics",4416
Hierarchically Variable Deference to Agency Interpretations [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Notre Dame Law Review, Vol. 89, Issue 2 (December 2013), pp. 727-784","Notre Dame Law Review, ",Vol.  89,2 (December 2013),727-784,89 Notre Dame L. Rev. 727 (2013-2014),13,na,9,"Administration Law, Agency, Judges, Jurisdiction, Age",4416
Against Mix-and-Match Lawmaking [comments],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Cornell Journal of Law and Public Policy , Vol. 16, Issue 2 (Spring 2007), pp. 349-362","Cornell Journal of Law and Public Policy , ",Vol.  16,2 (Spring 2007),349-362,16 Cornell J. L. & Pub. Pol'y 349 (Spring 2007),10,na,3,"Legislation, Government, Subpoenas",4416
Communicating the Canons: How Lower Courts React When the Supreme Court Changes the Rules of Statutory Interpretation [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Minnesota Law Review, Vol. 100, Issue 2 (December 2015), pp. 481-560","Minnesota Law Review, ",Vol.  100,2 (December 2015),481-560,100 Minn. L. Rev. 481 (2015-2016),9,na,39,"Courts, Judges, Legislation, Statutory Interpretation, Supreme Court of the United States, Federal Courts",4416
Justice Unconceived: How Posterity Has Rights [notes],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Yale Journal of Law & the Humanities, Vol. 14, Issue 2 (Summer 2002), pp. 393-440","Yale Journal of Law & the Humanities, ",Vol.  14,2 (Summer 2002),393-440,14 Yale J.L. & Human. 393 (2002),8,na,1,"Jurisprudence, Law and Society, Ethics, Costs",4416
"Return of the Line Item Veto - Legalities, Practicalities, and Some Puzzles [article]",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","University of Pennsylvania Journal of Constitutional Law, Vol. 10, Issue 3 (March 2008), pp. 447-498","University of Pennsylvania Journal of Constitutional Law, ",Vol.  10,3 (March 2008),447-498,10 U. Pa. J. Const. L. 447 (2007-2008),6,na,3,"Politics, President/Executive Department, Constitutional Law",4416
Public Reason as a Public Good [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Journal of Law in Society, Vol. 4, Issue 2 (Winter 2003), pp. 217-274","Journal of Law in Society, ",Vol.  4,2 (Winter 2003),217-274,4 J.L. Soc'y 217 (2002-2003),5,na,4,"Natural Law, Religion, Jurisprudence",4416
When is Finality Final - Rehearing and Resurrection in the Supreme Court [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Journal of Appellate Practice and Process, Vol. 12, Issue 1 (Spring 2011), pp. 1-24","Journal of Appellate Practice and Process, ",Vol.  12,1 (Spring 2011),24-Jan,12 J. App. Prac. & Process 1 (2011),4,na,3,"Courts, Judges, Criminal Law and Procedure, Law Enforcement and Corrections",4416
The Jurisdiction Canon [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Vanderbilt Law Review, Vol. 70, Issue 2 (March 2017), pp. 499-564","Vanderbilt Law Review, ",Vol.  70,2 (March 2017),499-564,70 Vand. L. Rev. 499 (2017),4,na,28,"Jurisdiction, Legislation, Interpretation and Construction, World Trade Organization, Constitutional Law, International Law",4416
Measuring Circuit Splits: A Cautionary Note [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Journal of Law, Vol. 4, Issue 3 (2014), pp. 361-384","Journal of Law, ",Vol.  4,3 (2014),361-384,4 J. L. 361 (2014),3,na,5,Appellate Review,4416
Statutory Interpretation and the Rest of the Iceberg: Divergences between the Lower Federal Courts and the Supreme Court [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Duke Law Journal, Vol. 68, Issue 1 (October 2018), pp. 1-74","Duke Law Journal, ",Vol.  68,1 (October 2018),Jan-74,68 Duke L.J. 1 (2018-2019),3,na,na,na,4416
One Good Plaintiff Is Not Enough [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)","Duke Law Journal, Vol. 67, Issue 3 (December 2017), pp. 481-556","Duke Law Journal, ",Vol.  67,3 (December 2017),481-556,67 Duke L.J. 481 (2017-2018),2,1,27,"Constitutional Law, Courts, Estates, Remedies, Economics, Psychiatry and Psychology, Torts, Women",4416
Courtside [notes],Aaron-Andrew P. Bruhl,"Smith, Paul M. (Cited 32 times); Fallow, Katherine A. (Cited 20 times); Mach, Daniel (Cited 30 times); Bruhl, Aaron A. (Cited 410 times)","Communications Lawyer, Vol. 23, Issue 1 (Spring 2005), pp. 23-32","Communications Lawyer, ",Vol.  23,1 (Spring 2005),23-32,23 Comm. Law. 23 (2005-2006),1,na,na,"Government, Agriculture",4416
"New Line Item Veto Proposal: This Time Its Constitutional (Mostly), The",Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",na,na,na,na,na,116 Yale L.J. F. 70,na,na,na,na,4416
Separating Amicus Wheat from Chaff [article],Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times); Feldman, Adam (Cited 12 times)","Georgetown Law Journal Online, Vol. 106, pp. 135-150","Georgetown Law Journal Online, ",Vol.  106,na,135-150,106 Geo. L.J. Online 135 (2017),na,na,19,"Legal Analysis and Writing, Supreme Court of the United States, Courts, Law and Society",4416
Interpretive Preferences and the Limits of the New Formalism [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Berkeley Business Law Journal, Vol. 6, Issue 1 and 2 (2009), pp. 1-54","Berkeley Business Law Journal, ",Vol.  6,1 and 2 (2009),Jan-54,6 Berkeley Bus. L.J. 1 (2009),16,na,5,"Commercial Law, Contracts, Dispute Resolution, Organizations, General, Ownership",9420
"Harm, Ambiguity, and the Regulation of Illegal Contracts [article]",Adam Badawi,"Badawi, Adam B. (Cited 62 times)","George Mason Law Review, Vol. 17, Issue 2 (Winter 2010), pp. 483-532","George Mason Law Review, ",Vol.  17,2 (Winter 2010),483-532,17 Geo. Mason L. Rev. 483 (2009-2010),12,na,14,"Contracts, Regulation",9420
Self-Help and the Rules of Engagement [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Yale Journal on Regulation, Vol. 29, Issue 1 (Winter 2012), pp. 1-44","Yale Journal on Regulation, ",Vol.  29,1 (Winter 2012),Jan-44,29 Yale J. on Reg. 1 (Winter 2012),10,na,15,"Law Enforcement, Repossession, State Action, Commercial Code, Credit, Fraud, Uniform Commercial Code",9420
Unceasing Animosities and the Public Tranquility: Political Market Failure and the Scope of the Commerce Power [comments],Adam Badawi,"Badawi, Adam (Cited 62 times)","California Law Review, Vol. 91, Issue 5 (October 2003), pp. 1331-1374","California Law Review, ",Vol.  91,5 (October 2003),1331-1374,91 Calif. L. Rev. 1331 (2003),6,na,1,"Constitutional Law, Jurisdiction, Criminal Law and Procedure",9420
Merger Class Actions in Delaware and the Symptoms of Multi-Jurisdictional Litigation [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Washington University Law Review, Vol. 90, Issue 3 (2013), pp. 965-1014","Washington University Law Review, ",Vol.  90,3 (2013),965-1014,90 Wash. U. L. Rev. 965 (2012-2013),6,na,4,"Class Actions, Adoption, Corporations",9420
The Shareholder Wealth Effects of Delaware Litigation [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Chen, Daniel L. (Cited 56 times)","American Law and Economics Review, Vol. 19, Issue 2 (Fall 2017), pp. 287-326","American Law and Economics Review, ",Vol.  19,2 (Fall 2017),287-326,Full Text Not Currently Available in HeinOnline,2,na,na,"Plaintiffs, Business Organizations, Jurisdiction, Records",9420
Relational Governance and Contract Damages: Evidence from Franchising [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Journal of Empirical Legal Studies, Vol. 7, Issue 4 (2010), pp. 743-785","Journal of Empirical Legal Studies, ",Vol.  7,4 (2010),743-785,7 J. Empirical Legal Stud. 743 (2010),2,na,8,"Agency, Contracts, Damages, Economics, Evidence, Franchising, Commercial Law, Personal Property, Property, Jurisprudence",9420
Appellate Lawmaking in Judicial Hierarchy [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Baker, Scott (Cited 232 times)","Journal of Law & Economics, Vol. 58, Issue 1 (February 2015), pp. 139-172","Journal of Law & Economics, ",Vol.  58,1 (February 2015),139-172,Full Text Not Currently Available in HeinOnline,2,na,na,"Courts, Appeals, Court Opinions",9420
Rationality's Reach [reviews],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Michigan Law Review, Vol. 112, Issue 6 (April 2014), pp. 993-1014","Michigan Law Review, ",Vol.  112,6 (April 2014),993-1014,112 Mich. L. Rev. 993 (2013-2014),2,na,3,"Consumer Protection Law, Economics, Psychiatry and Psychology, Regulation, Banking, Credit, Law and Economics",9420
The Fannie and Freddie Bailouts through the Corporate Lens [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Casey, Anthony J. (Cited 280 times)","New York University Journal of Law and Business, Vol. 10, Issue 2 (Spring 2014), pp. 443-478","New York University Journal of Law and Business, ",Vol.  10,2 (Spring 2014),443-478,10 N.Y.U. J.L. & Bus. 443 (Spring 2014),2,na,3,"Due Process, Foreclosure, State Action, Victims, Bankruptcy Law, Fourteenth Amendment, Housing Law",9420
Introduction to the Bernard Witkin Oral History [article],Adam Badawi,"Badawi, Adam (Cited 62 times)","California Supreme Court Historical Society Yearbook, Vol. 4, pp. 95-108","California Supreme Court Historical Society Yearbook, ",Vol.  4,na,95-108,4 Cal. Sup. Ct. Hist. Soc'y Y.B. 95 (1998-1999),1,na,1,"History, Evidence",9420
Influence Costs and the Scope of Board Authority [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Journal of Corporation Law, Vol. 39, Issue 4 (Summer 2014), pp. 675-712","Journal of Corporation Law, ",Vol.  39,4 (Summer 2014),675-712,39 J. Corp. L. 675 (2013-2014),1,na,6,"Costs, Lobbying, Corporations, Politics",9420
Does the Quality of Plaintiffs' Law Firm Matter in Deal Litigation [article],Adam Badawi,"Badawi, Adam B. (Cited 62 times); Webber, David H. (Cited 68 times)","Journal of Corporation Law, Vol. 41, Issue 2 (Winter 2015), pp. 359-392","Journal of Corporation Law, ",Vol.  41,2 (Winter 2015),359-392,41 J. Corp. L. 359 (Winter 2015),na,na,12,"Plaintiffs, Derivative Actions, Mergers",9420
"Lobbying, Pandering, and Information in the Firm [article]",Adam Badawi,"Badawi, Adam B. (Cited 62 times)","Seattle University Law Review, Vol. 38, Issue 2 (Winter 2015), pp. 215-254","Seattle University Law Review, ",Vol.  38,2 (Winter 2015),215-254,38 Seattle U. L. Rev. 215 (2014-2015),na,na,9,"Lobbying, Costs, Banking, Corporations",9420
The Reorganization of Fannie and Freddie [notes],Adam Badawi,"Badawi, Adam (Cited 62 times); Casey, Anthony; Skeel, David (Cited 82 times); Wallison, Peter (Cited 3 times); McKenzie, Troy","New York University Journal of Law and Business, Vol. 10, Issue 2 (Spring 2014), pp. 223-264","New York University Journal of Law and Business, ",Vol.  10,2 (Spring 2014),223-264,10 N.Y.U. J.L. & Bus. 223 (Spring 2014),na,na,2,"Takings, Takings Clause, Administrative Law, Regulation, Government",9420
Foreword [comments],Adam Badawi,"Kim, Pauline (Cited 11 times); Badawi, Adam (Cited 62 times); Hollander-Blumoff, Rebecca (Cited 270 times)","Journal of Empirical Legal Studies, Vol. 13, Issue 4 (2016), pp. 566-566","Journal of Empirical Legal Studies, ",Vol.  13,4 (2016),566-566,13 J. Empirical Legal Stud. 566 (2016),na,na,1,"Revolution, Legal Research, Research, Business Organizations, Practice and Procedure, Securities Law",9420
A Qualitative Theory of the Dead Hand [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times); Wang, William K. S. (Cited 559 times)","Indiana Law Journal, Vol. 68, Issue 1 (Winter 1992), pp. 1-58","Indiana Law Journal, ",Vol.  68,1 (Winter 1992),Jan-58,68 Ind. L. J. 1 (1992-1993),135,na,33,"Probate Law, Rule Against Perpetuities, Trusts, Property",2172
Spendthrift Trusts and Public Policy: Economic and Cognitive Perspectives [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington University Law Quarterly, Vol. 73, Issue 1 (Spring 1995), pp. 1-96","Washington University Law Quarterly, ",Vol.  73,1 (Spring 1995),Jan-96,73 Wash. U. L. Q. 1 (1995),95,1,6,"Public Policy, Spendthrift Trusts, Trusts, Estate Planning",2172
Default Rules in Inheritance Law: A Problem in Serach of Its Context [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Fordham Law Review, Vol. 73, Issue 3 (December 2004), pp. 1031-1102","Fordham Law Review, ",Vol.  73,3 (December 2004),1031-1102,73 Fordham L. Rev. 1031 (December 2004),83,3,49,"Economics, Estate Planning, Inheritance, Wills, International Law, Private International Law",2172
Inheritance and Inconsistency [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Ohio Staw Law Journal, Vol. 57, Issue 4 (1996), pp. 1057-1162","Ohio Staw Law Journal, ",Vol.  57,4 (1996),1057-1162,57 Ohio St. L.J. 1057 (1996),58,na,18,"Estate Planning, Inheritance, Jurisprudence",2172
Problem of the Insolvent Heir [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Cornell Law Review, Vol. 74, Issue 4 , pp. 587-654","Cornell Law Review, ",Vol.  74,4,587-654,74 Cornell L. Rev. 587 (1988-1989),55,6,4,"Probate Law, Due Process, Liens, Bankruptcy Law",2172
Bequests for Purposes: A Unified Theory [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington and Lee Law Review, Vol. 56, Issue 1 (1999), pp. 33-110","Washington and Lee Law Review, ",Vol.  56,1 (1999),33-110,56 Wash. & Lee L. Rev. 33 (1999),48,na,13,"Charities, Estate Planning, Trusts, Animal Law",2172
Text and Time: A Theory of Testamentary Obsolescence [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Washington University Law Review, Vol. 86, Issue 3 (2009), pp. 609-664","Washington University Law Review, ",Vol.  86,3 (2009),609-664,86 Wash. U. L. Rev. 609 (2008-2009),40,na,9,"Estates, Wills",2172
Freedom of Testation/Freedom of Contract [article],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Minnesota Law Review, Vol. 95, Issue 6 (2011), pp. 2180-2253","Minnesota Law Review, ",Vol.  95,6 (2011),2180-2253,95 Minn. L. Rev. 2180 (2010-2011),38,na,51,"Contracts, Estates, Jurisprudence, Gifts, Wills",2172
"Inheritance Law, Legal Contraptions, and the Problem of Doctrinal Change [article]",Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Oregon Law Review, Vol. 79, Issue 3 (Fall 2000), pp. 527-574","Oregon Law Review, ",Vol.  79,3 (Fall 2000),527-574,79 Or. L. Rev. 527 (2000),33,na,19,"Estate Planning, Inheritance, Democracy, Law and Society, Jurisprudence",2172
Fear Not the Assest Protection Trust [comments],Adam J. Hirsch,"Hirsch, Adam J. (Cited 858 times)","Cardozo Law Review, Vol. 27, Issue 6 (April 2006), pp. 2685-2712","Cardozo Law Review, ",Vol.  27,6 (April 2006),2685-2712,27 Cardozo L. Rev. 2685 (April 2006),30,3,13,"Asset Protection Trusts, Trusts, Federalism, Public Policy, States",2172
