,Journal,Vol,Issue,Issue Year,First Page,Last Page,Pages
0,Texas Law Review,Vol.  72,6 (May 1994),1994,1345,1374,1345-1374
0,Journal of Legal Studies,Vol.  30,2 - Part 2 (June 2001),2001,625,660,625-660
0,Michigan Law Review,Vol.  110,2 (November 2011),2011,243,294,243-294
0,Journal of International Economic Law,Vol.  2,1 (March 1999),1999,49,70,49-70
0,Chicago Journal of International Law,Vol.  3,2 (Fall 2002),2002,353,368,353-368
0,Journal of Legal Studies,Vol.  37,2 (June 2008),2008,339,378,339-378
0,American Law and Economics Review,Vol.  1,s 1 & 2 (Fall 1999),1999,313,385,313-385
0,Georgetown Law Journal,Vol.  93,3 (March 2005),2005,993,1022,993-1022
0,Columbia Law Review,Vol.  83,5 (June 1983),1983,1150,1166,1150-1166
0,Journal of Legal Studies ,Vol.  23,1 - Part 1 (January 1994),1994,77,110,77-110
0,Harvard Journal of Law & Public Policy ,Vol.  23,1 (Fall 1999),1999,89,96,89-96
0,Journal of International Economic Law ,Vol.  7,3 (September 2004),2004,523,564,523-564
0,Journal of Legal Analysis,Vol.  2,2 (Fall 2010),2010,473,524,473-524
0,Law and Policy in International Business,Vol.  21,4 (1990),1990,699,722,699-722
0,Journal of Legal Studies,Vol.  40,1 (January 2011),2011,149,204,149-204
0,World Trade Review,Vol.  2,3 (2003),2003,261,296,261-296
0,Journal of International Economic Law,Vol.  3,2 (June 2000),2000,257,264,257-264
0,Supreme Court Review,Vol.  1993,,,157,198,157-198
0,Southern California Law Review,Vol.  86,5 (July 2013),2013,1025,1078,1025-1078
0,American Law and Economics Review ,Vol.  9,1 (Spring 2007),2007,72,134,72-134
0,Journal of Legal Analysis,Vol.  6,1 (Spring 2014),2014,1,34,1-34
0,Journal of Legal Studies,Vol.  30,2 - Part 1 (June 2001),2001,383,400,383-400
0,World Trade Review,Vol.  4,1,,41,68,41-68
0,American Journal of International Law,Vol.  109,2 (April 2015),2015,296,323,296-323
0,University of Chicago Law Review,Vol.  80,1 (Winter 2013),2013,315,340,315-340
0,Regulation,Vol.  25,4 (Winter 2002-2003),2002,44,51,44-51
0,Chicago Journal of International Law,Vol.  15,1 (Summer 2014),2014,195,228,195-228
0,World Trade Review,Vol.  10,1 (January 2011),2011,133,[viii],133-[viii]
0,American Journal of International Law,Vol.  104,4 (October 2010),2010,569,596,569-596
0,Journal of International Economic Law,Vol.  16,4 (December 2013),2013,741,776,741-776
0,Journal of World Trade,Vol.  40,5 (October 2006),2006,979,998,979-998
0,New York University Journal of International Law and Politics,Vol.  45,3 (Spring 2013),2013,787,814,787-814
0,World Trade Review,Vol.  7,1,,121,142,121-142
0,World Trade Review,Vol.  3,1 (March 2004),2004,93,98,93-98
0,World Trade Review,Vol.  3,3 (November 2004),2004,507,528,507-528
0,World Trade Review,Vol.  5,1 (March 2006),2006,133,148,133-148
0,Arizona State Law Journal,Vol.  49,(2017),2017,821,[viii],821-[viii]
0,Stanford Journal of International Law,Vol.  46,2 (Summer 2010),2010,171,176,171-176
0,Journal of Law & Economics,Vol.  36,1 - Part 2 (April 1993),1993,541,552,541-552
0,Journal of Competition Law and Economics ,Vol.  3,3 (September 2007),2007,309,340,309-340
0,Journal of Legal Analysis,Vol.  9,2 (Winter 2017),2017,153,182,153-182
0,World Trade Review,Vol.  5,(2006),2006,11,30,11-30
0,World Trade Review,Vol.  5,(2006),2006,146,187,146-187
0,World Trade Review,Vol.  5,(2006),2006,220,253,220-253
0,World Trade Review,Vol.  6,1 (March 2007),2007,89,148,89-148
0,World Trade Review,Vol.  4,(2005),2005,133,157,133-157
0,World Trade Review,Vol.  4,(2005),2005,158,178,158-178
0,University of Chicago Law Review,Vol.  74,(2007),2007,1911,1932,1911-1932
0,Yale Law Journal ,Vol.  93,7 (June 1984),1984,1231,1282,1231-1282
0,Harvard Law Review ,Vol.  101,3 (January 1988),1988,563,609,563-609
0,Journal of Legal Studies,Vol.  25,2 (June 1996),1996,319,350,319-350
0,Yale Law Journal,Vol.  110,5 (March 2001),2001,785,828,785-828
0,Columbia Law Review,Vol.  89,2 (March 1989),1989,199,263,199-263
0,University of Chicago Law Review,Vol.  58,1 (Winter 1991),1991,255,306,255-306
0,Supreme Court Review,Vol.  1987,,,249,302,249-302
0,Chicago Journal of International Law,Vol.  3,1 (Spring 2002),2002,47,68,47-68
0,University of Chicago Law Review,Vol.  66,1 (Winter 1999),1999,1,46,1-46
0,Law and Policy in International Business,Vol.  23,2 (1992),1992,263,330,263-330
0,Journal of Legal Studies,Vol.  34,2 (June 2005),2005,631,666,631-666
0,Journal of Legal Studies,Vol.  31,1 - Part 2 (January 2002),2002,S179,S204,S179-S204
0,Boston University International Law Journal,Vol.  8,2 (Fall 1990),1990,301,324,301-324
0,Harvard Law Review ,Vol.  95,8 (June 1982),1982,1857,1874,1857-1874
0,Journal of Legal Studies,Vol.  19,1 (January 1990),1990,43,94,43-94
0,University of Chicago Law Review,Vol.  70,1 (Winter 2003),2003,403,420,403-420
0,Journal of Legal Studies,Vol.  25,2 (June 1996),1996,405,444,405-444
0,Georgetown Law Journal,Vol.  100,6 (August 2012),2012,2161,2210,2161-2210
0,Harvard Law Review,Vol.  120,5 (March 2007),2007,1137,1147,1137-1147
0,Journal of International Economic Law,Vol.  1,1 (1998),1998,49,82,49-82
0,Texas Law Review,Vol.  72,6 (May 1994),1994,1345,1374,1345-1374
0,Indiana Law Review,Vol.  36,2 (2003),2003,447,[ii],447-[ii]
0,Journal of Legal Studies,Vol.  30,2 - Part 2 (June 2001),2001,625,660,625-660
0,Michigan Law Review,Vol.  110,2 (November 2011),2011,243,294,243-294
0,Journal of International Economic Law,Vol.  2,1 (March 1999),1999,49,70,49-70
0,Chicago Journal of International Law,Vol.  3,2 (Fall 2002),2002,353,368,353-368
0,Journal of Legal Studies,Vol.  37,2 (June 2008),2008,339,378,339-378
0,American Law and Economics Review,Vol.  1,s 1 & 2 (Fall 1999),1999,313,385,313-385
0,Georgetown Law Journal,Vol.  93,3 (March 2005),2005,993,1022,993-1022
0,Columbia Law Review,Vol.  83,5 (June 1983),1983,1150,1166,1150-1166
0,Journal of Legal Studies ,Vol.  23,1 - Part 1 (January 1994),1994,77,110,77-110
0,Harvard Journal of Law & Public Policy ,Vol.  23,1 (Fall 1999),1999,89,96,89-96
0,Journal of International Economic Law ,Vol.  7,3 (September 2004),2004,523,564,523-564
0,Journal of Legal Analysis,Vol.  2,2 (Fall 2010),2010,473,524,473-524
0,Law and Policy in International Business,Vol.  21,4 (1990),1990,699,722,699-722
0,Journal of Legal Studies,Vol.  40,1 (January 2011),2011,149,204,149-204
0,World Trade Review,Vol.  2,3 (2003),2003,261,296,261-296
0,Journal of International Economic Law,Vol.  3,2 (June 2000),2000,257,264,257-264
0,Supreme Court Review,Vol.  1993,,,157,198,157-198
0,Southern California Law Review,Vol.  86,5 (July 2013),2013,1025,1078,1025-1078
0,American Law and Economics Review ,Vol.  9,1 (Spring 2007),2007,72,134,72-134
0,Journal of Legal Analysis,Vol.  6,1 (Spring 2014),2014,1,34,1-34
0,Journal of Legal Studies,Vol.  30,2 - Part 1 (June 2001),2001,383,400,383-400
0,World Trade Review,Vol.  4,1,,41,68,41-68
0,American Journal of International Law,Vol.  109,2 (April 2015),2015,296,323,296-323
0,University of Chicago Law Review,Vol.  80,1 (Winter 2013),2013,315,340,315-340
0,Regulation,Vol.  25,4 (Winter 2002-2003),2002,44,51,44-51
0,Chicago Journal of International Law,Vol.  15,1 (Summer 2014),2014,195,228,195-228
0,World Trade Review,Vol.  10,1 (January 2011),2011,133,[viii],133-[viii]
0,American Journal of International Law,Vol.  104,4 (October 2010),2010,569,596,569-596
0,Journal of International Economic Law,Vol.  16,4 (December 2013),2013,741,776,741-776
0,Journal of World Trade,Vol.  40,5 (October 2006),2006,979,998,979-998
0,New York University Journal of International Law and Politics,Vol.  45,3 (Spring 2013),2013,787,814,787-814
0,World Trade Review,Vol.  7,1,,121,142,121-142
0,World Trade Review,Vol.  3,1 (March 2004),2004,93,98,93-98
0,World Trade Review,Vol.  3,3 (November 2004),2004,507,528,507-528
0,World Trade Review,Vol.  5,1 (March 2006),2006,133,148,133-148
0,Arizona State Law Journal,Vol.  49,(2017),2017,821,[viii],821-[viii]
0,Stanford Journal of International Law,Vol.  46,2 (Summer 2010),2010,171,176,171-176
0,Journal of Law & Economics,Vol.  36,1 - Part 2 (April 1993),1993,541,552,541-552
0,Journal of Competition Law and Economics ,Vol.  3,3 (September 2007),2007,309,340,309-340
0,Journal of Legal Analysis,Vol.  9,2 (Winter 2017),2017,153,182,153-182
0,World Trade Review,Vol.  5,(2006),2006,11,30,11-30
0,World Trade Review,Vol.  5,(2006),2006,146,187,146-187
0,World Trade Review,Vol.  5,(2006),2006,220,253,220-253
0,World Trade Review,Vol.  6,1 (March 2007),2007,89,148,89-148
0,World Trade Review,Vol.  13,2 (April 2014),2014,281,298,281-298
