,Title,Paper Type,List Author,Author(s),Number of Authors,Journal,Journal,Vol,Issue,Issue Year,First Page,Last Page,BBCite,BBCite Year,Cited (articles),Cited (cases),Accessed,Topics,ID
11,Competitive Third-Party Regulation: How Private Certification Can Overcome Constraints That Frustrate Government Regulation,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Theoretical Inquiries in Law, Vol. 15, Issue 2 (July 2014), pp. 539-572",Theoretical Inquiries in Law,Vol.  15,2 (July 2014),2014,539,572,15 Theoretical Inq. L. 539 (2014),2014,6,0,16,"Administrative Law, Government, Regulation, Third Parties, Corporations, Trade Regulation, Liability",3453
12,"Shall Not the Judge of the Earth Deal Justly: Accountability, Compassion, and Judicial Authority in the Biblical Story of Sodom and Gomorrah",article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Journal of Law and Religion, Vol. 18, Issue 1 (2002 - 2003), pp. 31-56",Journal of Law and Religion,Vol.  18,1 (2002 - 2003),2002,31,56,18 J. L. & Religion 31 (2002-2003),2002,6,0,3,"Criminal Law and Procedure, Religion, Torts, Crimes, Gay Men and Lesbians, Gender, Sexuality and the Law, Sodomy, Statutory Construction",3453
13,Signs of Change or Clash of Symbols - FDA Regulation of Nutrient Profile Labeling,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Health Matrix: Journal of Law-Medicine, Vol. 20, Issue 1 (2010), pp. 93-144",Health Matrix: Journal of Law-Medicine,Vol.  20,1 (2010),2010,93,144,20 Health Matrix 93 (2010),2010,6,0,9,"Regulation, First Amendment, Industry, Research",3453
14,"Using Litigation to Make Public Health Policy: Theoretical and Empirical Challenges in Assessing Product Liability, Tobacco, and Gun Litigation",article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Journal of Law, Medicine and Ethics, Vol. 32, Issue 4 (Winter 2004), pp. 556-564","Journal of Law, Medicine and Ethics",Vol.  32,4 (Winter 2004),2004,556,564,32 J.L. Med. & Ethics 556 (2004),2004,6,0,12,"Health, Liability, Product Liability, Public Health, Tobacco",3453
15,An Educational Approach to School Food: Using Nutrition Standards to Promote Healthy Dietary Habits,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Utah Law Review, Vol. 2010, Issue 4 (2010), pp. 1189-1222",Utah Law Review,Vol.  2010,4 (2010),2010,1189,1222,2010 Utah L. Rev. 1189 (2010),2010,2,0,4,"Education, Food and Drug Law, Health Law, Health, Public Health, Children, Lobbying",3453
16,Introduction,comments, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Yale Law & Policy Review, Vol. 23, Issue 1 (Winter 2005), pp. 1-4",Yale Law & Policy Review,Vol.  23,1 (Winter 2005),2005,1,4,23 Yale L. & Pol'y Rev. 1 (2005),2005,2,0,1,"Government, Rule of Law, Politics, Affirmative Action, Education",3453
17,"Foreword: Revolution, Participatory Democracy and Property",comments, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Capital University Law Review, Vol. 22, Issue 4 (Fall 1993), pp. 833-838",Capital University Law Review,Vol.  22,4 (Fall 1993),1993,833,838,22 Cap. U. L. Rev. 833 (1993),1993,2,0,1,"Comparative Law, Democracy, Property, Revolution, Real Property, Ownership",3453
18,Symposium Dialogue: Guns and Liability in America,article, Timothy D. Lytton,"Kairys, David (Cited 362 times); McClurg, Andrew J. (Cited 576 times); Lytton, Timothy D. (Cited 278 times); Lott, John R. (Cited 8 times)",4,"Connecticut Law Review, Vol. 32, Issue 4 (Summer 2000), pp. 1425-1442",Connecticut Law Review,Vol.  32,4 (Summer 2000),2000,1425,1442,32 Conn. L. Rev. 1425 (Summer 2000),2000,2,0,3,"Liability, State and Local Government Law, Handguns",3453
19,Framing Clergy Sexual Abuse as an Institutional Failure: How Tort Litigation Influences Media Coverage,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"William Mitchell Law Review, Vol. 36, Issue 1 (2009), pp. 169-185",William Mitchell Law Review,Vol.  36,1 (2009),2009,169,185,36 Wm. Mitchell L. Rev. 169 (2009-2010),2009,1,0,17,"Clergy, Religion, Sexual Abuse, Torts",3453
20,Kosher Certification as a Model of Private Regulation; Third-Party Certification Has Benefits over Both Government Regulation and Unregulated Markets,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Regulation, Vol. 36, Issue 3 (Fall 2013), pp. 24-27",Regulation,Vol.  36,3 (Fall 2013),2013,24,27,36 Regulation 24 (2013-2014),2013,1,0,14,"Government, Regulation, Industry, First Amendment, Food and Drug Law, Fourteenth Amendment, Fraud, Religion",3453
21,Smashing the Idols of Efficiency,reviews, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Virginia Law Review, Vol. 79, Issue 1 (February 1993), pp. 275-290",Virginia Law Review,Vol.  79,1 (February 1993),1993,275,290,79 Va. L. Rev. 275 (February 1993),1993,1,0,3,"Economics, Torts, Accidents",3453
22,There Is More to Transparency than Meets the Eye: The Impact of Mandatory Disclosure Laws Aimed at Promoting Breastfeeding,article, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times); Dennison, Barbara A. (Cited 1 times); Nguyen, Trang Q. (Cited 1 times); Jurkowski, Janine M. (Cited 1 times)",4,"American Journal of Law & Medicine, Vol. 40, Issue 4 (2014), pp. 393-415",American Journal of Law & Medicine,Vol.  40,4 (2014),2014,393,415,40 Am. J.L. & Med. 393 (2014),2014,1,0,12,"Disclosure Laws, Domestic Relations, Consumer Protection Law, Jurisprudence, Professional Ethics, Business Organizations, Human Rights Law",3453
23,"Reviewing Thomas P. Doyle, A.W. Richard Sipe, & Patrick J. Wall, Sex, Priests, and Secret Codes: The Catholic Church's 2,000-Year Paper Trail of Sexual Abuse",reviews, Timothy D. Lytton,"Lytton, Timothy D. (Cited 278 times)",1,"Journal of Law and Religion , Vol. 22, Issue 2 (2006-2007), pp. 615-618",Journal of Law and Religion ,Vol.  22,2 (2006-2007),2006,615,618,22 J. L. & Religion 615 (2006-2007),2006,0,0,12,"Sex, Sexual Abuse, Clergy, Dispute Resolution, Immunity, Religion, Settlements",3453
24,The Pros and Cons of Litigation in Public Health,article, Timothy D. Lytton,"Barsoum, Gihan; Lytton, Timothy D. (Cited 278 times); Vernick, Jon; Isaacs, Carol",4,"Journal of Law, Medicine and Ethics, Vol. 32, Issue 4 Special Supplement (2004), pp. 42-44","Journal of Law, Medicine and Ethics",Vol.  32,4 Special Supplement (2004),2004,42,44,32 J.L. Med. & Ethics 42 (2004),2004,0,0,19,"Health, Public Health, Liability, Product Liability, Tobacco",3453
0,Plausibility Pleading,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Boston College Law Review, Vol. 49, Issue 2 (March 2008), pp. 431-494",Boston College Law Review,Vol.  49,2 (March 2008),2008,431,494,49 B.C. L. Rev. 431 (2008),2008,194,13,10,"Practice and Procedure, Procedure",9686
1,Understanding Pleading Doctrine,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Michigan Law Review , Vol. 108, Issue 1 (October 2009), pp. 1-36",Michigan Law Review ,Vol.  108,1 (October 2009),2009,1,36,108 Mich. L. Rev. 1 (2009-2010),2009,101,4,21,"Procedure, Practice and Procedure, Civil Rights",9686
2,The Law School Critique in Historical Perspective,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Washington and Lee Law Review, Vol. 69, Issue 4 (Fall 2012), pp. 1949-2066",Washington and Lee Law Review,Vol.  69,4 (Fall 2012),2012,1949,2066,69 Wash. & Lee L. Rev. 1949 (2012),2012,64,0,29,"Education, Legal Education",9686
3,"Class Actions, Heightened Commonality, and Declining Access to Justice",article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Boston University Law Review, Vol. 93, Issue 2 (March 2013), pp. 441-492",Boston University Law Review,Vol.  93,2 (March 2013),2013,441,492,93 B.U. L. Rev. 441 (2013),2013,60,0,21,"Class Actions, Women",9686
4,The Restrictive Ethos in Civil Procedure,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"George Washington Law Review, Vol. 78, Issue 2 (February 2010), pp. 353-373",George Washington Law Review,Vol.  78,2 (February 2010),2010,353,373,78 Geo. Wash. L. Rev. 353 (2009-2010),2009,53,0,23,"Civil Procedure, Procedure, Practice and Procedure, Law and Society",9686
5,Jurisdiction to Adjudicate: A Revised Analysis,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"University of Chicago Law Review, Vol. 73, Issue 2 (Spring 2006), pp. 617-672",University of Chicago Law Review,Vol.  73,2 (Spring 2006),2006,617,672,73 U. Chi. L. Rev. 617 (2006),2006,52,0,22,Jurisdiction,9686
6,Iqbal and the Slide toward Restrictive Procedure,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Lewis & Clark Law Review, Vol. 14, Issue 1 (Spring 2010), pp. 185-202",Lewis & Clark Law Review,Vol.  14,1 (Spring 2010),2010,185,202,14 Lewis & Clark L. Rev. 185 (2010),2010,48,0,9,"Procedure, Legal History, Practice and Procedure, Revolution, Defenses",9686
7,Pleading Civil Rights Claims in the Post-Conley Era,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Howard Law Journal , Vol. 52, Issue 1 (Fall 2008), pp. 99-166",Howard Law Journal ,Vol.  52,1 (Fall 2008),2008,99,166,52 Howard L.J. 99 (2008-2009),2008,39,0,7,"Civil Rights, Employment Practice, Environment, Practice and Procedure, Work Environment, Plaintiffs",9686
8,Jurisdiction and the Internet: Returning to Traditional Principles to Analyze Network-Mediated Contacts,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"University of Illinois Law Review, Vol. 2006, Issue 1 (2006), pp. 71-126",University of Illinois Law Review,Vol.  2006,1 (2006),2006,71,126,2006 U. Ill. L. Rev. 71 (2006),2006,35,6,19,"Communications Law, Internet, Jurisdiction, Arts, Contracts, Practice and Procedure",9686
9,Due Process and Punitive Damages: The Error of Federal Excessiveness Jurisprudence,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Southern California Law Review, Vol. 79, Issue 5 (July 2006), pp. 1085-1154",Southern California Law Review,Vol.  79,5 (July 2006),2006,1085,1154,79 S. Cal. L. Rev. 1085 (2005-2006),2005,34,0,4,"Constitutional Law, Damages, Due Process, Jurisprudence, Punitive Damages, Remedies, Automobile Insurance, Insurance, Plaintiffs",9686
10,Pleading and Access to Civil Justice: A Response to Twiqbal Apologists,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"UCLA Law Review, Vol. 60, Issue 6 (August 2013), pp. 1710-1739",UCLA Law Review,Vol.  60,6 (August 2013),2013,1710,1739,60 UCLA L. Rev. 1710 (2012-2013),2012,22,0,14,"Practice and Procedure, Supreme Court of the United States",9686
11,The Preservation Obligation: Regulating and Sanctioning Pre-Litigation Spoliation in Federal Court,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Fordham Law Review, Vol. 79, Issue 5 (April 2011), pp. 2005-2034",Fordham Law Review,Vol.  79,5 (April 2011),2011,2005,2034,79 Fordham L. Rev. 2005 (2010-2011),2010,18,0,13,"Agency, Courts, Federal Courts, Discovery, Practice and Procedure, Science and Technology",9686
12,Nationwide Personal Jurisdiction for Our Federal Courts,comments,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Denver University Law Review, Vol. 87, Issue 2 (2010), pp. 325-334",Denver University Law Review,Vol.  87,2 (2010),2010,325,334,87 Denv. U. L. Rev. 325 (2009-2010),2009,14,0,16,"Courts, Federal Courts, Jurisdiction, Cause of Action, Discovery, Sanctions",9686
13,Anti-Federalist Procedure,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Washington and Lee Law Review, Vol. 64, Issue 1 (Winter 2007), pp. 233-296",Washington and Lee Law Review,Vol.  64,1 (Winter 2007),2007,233,296,64 Wash. & Lee L. Rev. 233 (2007),2007,7,0,4,"Constitutional Law, Jurisdiction, Procedure, Federalism, States",9686
14,The Judicial Power and the Inferior Federal Courts: Exploring the Constitutional Vesting Thesis,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Georgia Law Review, Vol. 46, Issue 1 (Fall 2011), pp. 1-68",Georgia Law Review,Vol.  46,1 (Fall 2011),2011,1,68,46 Ga. L. Rev. 1 (2011-2012),2011,4,0,6,"Constitutional Law, Courts, Federal Courts, Judges, Legal History, Jurisdiction",9686
15,Rationalizing Cost Allocation in Civil Discovery,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Review of Litigation, Vol. 34, Issue 4 (2015), pp. 769-814",Review of Litigation,Vol.  34,4 (2015),2015,769,814,34 Rev. Litig. 769 (2015),2015,4,0,23,"Discovery, Comparative and Foreign Law, Economics",9686
16,The Forms Had a Function: Rule 84 and the Appendix of Forms as Guardians of the Liberal Ethos in Civil Procedure,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Nevada Law Journal, Vol. 15, Issue 3 (Summer 2015), pp. 1113-1140",Nevada Law Journal,Vol.  15,3 (Summer 2015),2015,1113,1140,15 Nev. L.J. 1113 (2014-2015),2014,4,0,3,"Civil Procedure, Guardians, Procedure, Federal Rules of Civil Procedure, Practice and Procedure, Judgments, Research",9686
17,Terminating Calder: Effects Based Jurisdiction in the Ninth Circuit after Schwarzenegger v. Fred Martin Motor Co.,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Whitter Law Review, Vol. 26, Issue 1 (Fall 2004), pp. 197-[ii]",Whitter Law Review,Vol.  26,1 (Fall 2004),2004,197,[ii],26 Whittier L. Rev. 197 (2004-2005),2004,3,0,1,"Jurisdiction, Fourteenth Amendment",9686
18,Supporting and Promoting Scholarly Life in Turbulent Times,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Touro Law Review, Vol. 31, Issue 1 (2014), pp. 25-32",Touro Law Review,Vol.  31,1 (2014),2014,25,32,31 Touro L. Rev. 25 (2014-2015),2014,1,0,2,"Age, Internet, Research, Courts, Federal Courts, Academic Freedom, Commitment",9686
19,Understanding the Department of Defense's Policy regarding Transgender Servicemembers,article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"Army Lawyer, Vol. 2017, Issue 2 (February 2017), pp. 4-17",Army Lawyer,Vol.  2017,2 (February 2017),2017,4,17,2017 Army Law. 4 (2017),2017,0,0,10,"Transgender, Administrative Law, Constitutional Law, Sexual Orientation",9686
20,"Substance, Procedure, and the Rules Enabling Act",article,A. Benjamin Spencer,"Spencer, A. Benjamin (Cited 762 times)",1,"UCLA Law Review, Vol. 66, Issue 3 (April 2019), pp. 654-719",UCLA Law Review,Vol.  66,3 (April 2019),2019,654,719,66 UCLA L. Rev. 654 (2019),2019,0,0,0,,9686
0,The Unconscionability Game: Strategic Judging and the Evolution of Federal Arbitration Law,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"New York University Law Review, Vol. 83, Issue 5 (November 2008), pp. 1420-1490",New York University Law Review,Vol.  83,5 (November 2008),2008,1420,1490,83 N.Y.U. L. Rev. 1420 (2008),2008,99,2,20,"Arbitration, Dispute Resolution, Judges, Contracts, Courts, Jurisdiction",4416
1,Hierarchy and Heterogeneity: How to Read a Statute in a Lower Court,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Cornell Law Review, Vol. 97, Issue 3 (March 2012), pp. 433-500",Cornell Law Review,Vol.  97,3 (March 2012),2012,433,500,97 Cornell L. Rev. 433 (2011-2012),2011,43,0,24,"Courts, Judges, Legislation, Statutory Interpretation, Supreme Court of the United States",4416
2,"Using Statues to Set Legislative Rules: Entrenchment, Separation of Powers, and the Rules of the Proceedings Clause",article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Journal of Law & Politics, Vol. 19, Issue 4 (Fall 2003), pp. 345-416",Journal of Law & Politics,Vol.  19,4 (Fall 2003),2003,345,416,19 J.L. & Pol. 345 (2003),2003,38,0,12,"Constitutional Law, Legislation, Separation, Separation of Powers, Labor-Management Relations, Constitutional Rights",4416
3,Elected Judges and Statutory Interpretation,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times); Leib, Ethan J. (Cited 539 times)",2,"University of Chicago Law Review, Vol. 79, Issue 4 (Fall 2012), pp. 1215-1284",University of Chicago Law Review,Vol.  79,4 (Fall 2012),2012,1215,1284,79 U. Chi. L. Rev. 1215 (Fall 2012),2012,34,0,27,"Judges, Statutory Interpretation",4416
4,The Supreme Court's Controversial GVRS - and an Alternative,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Michigan Law Review, Vol. 107, Issue 5 (March 2009), pp. 711-756",Michigan Law Review,Vol.  107,5 (March 2009),2009,711,756,107 Mich. L. Rev. 711 (2008-2009),2008,26,7,9,"Courts, Practice and Procedure, Confessions, General",4416
5,Following Lower-Court Precedent,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"University of Chicago Law Review, Vol. 81, Issue 3 (Spring 2014), pp. 851-928",University of Chicago Law Review,Vol.  81,3 (Spring 2014),2014,851,928,81 U. Chi. L. Rev. 851 (2014),2014,22,0,35,"Courts, Judges, Jurisprudence, Supreme Court of the United States",4416
6,The Senate: Out of Order,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Connecticut Law Review, Vol. 43, Issue 4 (May 2011), pp. 1041-1058",Connecticut Law Review,Vol.  43,4 (May 2011),2011,1041,1058,43 Conn. L. Rev. 1041 (2010-2011),2010,20,0,10,"Democracy, Politics, Legislation",4416
7,Burying the Continuing Body Theory of the Senate,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Iowa Law Review, Vol. 95, Issue 5 (July 2010), pp. 1401-1466",Iowa Law Review,Vol.  95,5 (July 2010),2010,1401,1466,95 Iowa L. Rev. 1401 (2009-2010),2009,20,0,10,"Politics, Congress, Legislation",4416
8,Deciding When to Decide: How Appellate Procedure Distributes the Costs of Legal Change,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Cornell Law Review, Vol. 96, Issue 2 (January 2011), pp. 203-264",Cornell Law Review,Vol.  96,2 (January 2011),2011,203,264,96 Cornell L. Rev. 203 (2010-2011),2010,16,3,5,"Costs, Courts, Jurisprudence, Procedure, Constitutional Law, Judges",4416
9,"If the Judicial Confirmation Process Is Broke, Can a Statute Fix It",article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Nebraska Law Review, Vol. 85, Issue 4 (2007), pp. 960-1014",Nebraska Law Review,Vol.  85,4 (2007),2007,960,1014,85 Neb. L. Rev. 960 (2006-2007),2006,14,0,3,"Judges, Politics",4416
10,Hierarchically Variable Deference to Agency Interpretations,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Notre Dame Law Review, Vol. 89, Issue 2 (December 2013), pp. 727-784",Notre Dame Law Review,Vol.  89,2 (December 2013),2013,727,784,89 Notre Dame L. Rev. 727 (2013-2014),2013,13,0,9,"Administration Law, Agency, Judges, Jurisdiction, Age",4416
11,Against Mix-and-Match Lawmaking,comments,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Cornell Journal of Law and Public Policy , Vol. 16, Issue 2 (Spring 2007), pp. 349-362",Cornell Journal of Law and Public Policy ,Vol.  16,2 (Spring 2007),2007,349,362,16 Cornell J. L. & Pub. Pol'y 349 (Spring 2007),2007,10,0,3,"Legislation, Government, Subpoenas",4416
12,Communicating the Canons: How Lower Courts React When the Supreme Court Changes the Rules of Statutory Interpretation,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Minnesota Law Review, Vol. 100, Issue 2 (December 2015), pp. 481-560",Minnesota Law Review,Vol.  100,2 (December 2015),2015,481,560,100 Minn. L. Rev. 481 (2015-2016),2015,9,0,39,"Courts, Judges, Legislation, Statutory Interpretation, Supreme Court of the United States, Federal Courts",4416
13,Justice Unconceived: How Posterity Has Rights,notes,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Yale Journal of Law & the Humanities, Vol. 14, Issue 2 (Summer 2002), pp. 393-440",Yale Journal of Law & the Humanities,Vol.  14,2 (Summer 2002),2002,393,440,14 Yale J.L. & Human. 393 (2002),2002,8,0,1,"Jurisprudence, Law and Society, Ethics, Costs",4416
14,"Return of the Line Item Veto - Legalities, Practicalities, and Some Puzzles",article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"University of Pennsylvania Journal of Constitutional Law, Vol. 10, Issue 3 (March 2008), pp. 447-498",University of Pennsylvania Journal of Constitutional Law,Vol.  10,3 (March 2008),2008,447,498,10 U. Pa. J. Const. L. 447 (2007-2008),2007,6,0,3,"Politics, President/Executive Department, Constitutional Law",4416
15,Public Reason as a Public Good,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Journal of Law in Society, Vol. 4, Issue 2 (Winter 2003), pp. 217-274",Journal of Law in Society,Vol.  4,2 (Winter 2003),2003,217,274,4 J.L. Soc'y 217 (2002-2003),2002,5,0,4,"Natural Law, Religion, Jurisprudence",4416
16,When is Finality Final - Rehearing and Resurrection in the Supreme Court,article,Aaron-Andrew P. Bruhl,"Bruhl, Aaron-Andrew P. (Cited 410 times)",1,"Journal of Appellate Practice and Process, Vol. 12, Issue 1 (Spring 2011), pp. 1-24",Journal of Appellate Practice and Process,Vol.  12,1 (Spring 2011),2011,1,24,12 J. App. Prac. & Process 1 (2011),2011,4,0,3,"Courts, Judges, Criminal Law and Procedure, Law Enforcement and Corrections",4416
